final_ID,From_Grade,To_Grade,Group_State,Days,Travel_Type,Departure_Month,Return_Month,Early_C,Days_LCtoDD,Cancelled_Pax,Total_Discount_Pax,Days_InitialOrgtoDD,SPR_Product_Type,FPP,Total_Pax,GroupGradeType,FPP_to_School_enrollment,Days_DeptoDD,Tuition,FRP_Active,FRP_Cancelled,FRP_Take_up_percent_,EZ_Pay_Take_Up_Rate,School_Sponsor,SPR_Group_Revenue,FPP_to_PAX,Num_of_Non_FPP_PAX,Poverty_Code,School_Type,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,SPR_New_Existing,NumberOfMeetingswithParents,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeType,SchoolSizeIndicator,Retained
17,5,6,MD,21,A,6,7,0,316,7,1,306,Science,13,11,Middle->Middle,0.018626759426069,262,1837,7,2,0.65785654091835,0.384979797078141,0,1851,0.888823454251637,1,B,PUBLIC,6,8,655,E,1,1,288,294,Middle->Middle,M-L,1
18,8,11,WI,27,A,6,7,1,516,1,2,531,Costa Rica,9,13,High->High,0.007179736553813,263,2801,7,2,0.694529731487626,0.338877754126548,0,2718,0.82289604105393,2,A,PUBLIC,9,12,1385,O,1,2,496,265,High->High,L,0
20,9,9,OK,8,A,5,5,1,277,3,4,466,East Coast,58,71,PK->High,0.091311241393659,222,1464,51,2,0.74554747968811,0.222232025478183,0,1399,0.963860266283731,5,0,Private non-Christian,PK,12,827,I,1,2,382,276,Middle->Middle,L,1
21,4,4,CA,3,T,5,5,0,209,1,1,313,CA History,28,32,K->Middle,0.056460946632664,207,144,7,0,0.217662854436362,0.05856057243188,1,151,0.976880182482866,1,B,PUBLIC,K,6,535,Q,1,0,0,0,Elementary->Elementary,M-L,1
23,8,8,FL,6,A,5,5,0,253,8,5,354,East Coast,48,52,Middle->Middle,0.103997194607331,195,1490,36,7,0.806158873911977,0.113449880053811,1,1572,0.921905749969848,4,0,Private non-Christian,6,8,454,M,1,2,215,205,Middle->Middle,S-M,1
24,9,9,FL,9,A,5,5,1,270,0,1,412,East Coast,8,7,PK->High,0.019658089087468,214,1396,5,0,0.82459234933629,0.0,0,1404,0.868694972890755,1,0,CHD,PK,12,330,D,1,1,255,254,Middle->Middle,S-M,1
26,8,10,IL,16,T,5,6,1,292,2,2,420,East Coast,30,31,Middle->High,0.140953875309798,187,718,11,0,0.384031724739028,0.236332688589699,0,700,0.966133489018103,2,C,PUBLIC,7,12,212,F,0,1,250,252,Middle->High,S,0
28,5,5,CA,31,A,3,4,1,393,0,5,368,East Coast,41,43,PK->Middle,0.105095595948635,168,2883,0,0,0.0,0.0,1,2473,0.883679811775793,4,0,Private non-Christian,PK,6,327,P,1,0,0,0,Middle->Middle,S-M,1
29,9,10,TX,14,A,6,6,0,257,10,1,267,East Coast,22,24,Middle->Middle,0.07214584936271,211,1523,18,2,0.860675679347177,0.090402576412176,0,1605,0.972622834453897,1,C,PUBLIC,6,8,274,F,0,1,250,237,Middle->High,S,1
30,10,10,IL,18,T,6,6,1,264,3,3,464,East Coast,51,53,Middle->Middle,0.076974999287604,224,714,30,4,0.590703976004355,0.201039638761651,0,817,0.946298679536614,3,B,PUBLIC,6,8,613,G,0,1,266,259,Middle->Middle,M-L,1
32,6,6,FL,29,T,4,5,1,267,23,7,425,East Coast,39,55,Middle->Middle,0.051278753445676,227,1054,38,17,0.854679973322177,0.125415751396045,0,1084,0.858167361826051,8,C,PUBLIC,6,8,915,M,1,2,377,217,Middle->Middle,L,1
33,4,6,CA,36,A,6,7,0,276,14,3,390,East Coast,22,27,PK->Middle,0.136080903993298,235,2216,19,12,0.770147272544284,0.189209544697521,0,2410,0.863591493443254,3,0,CHD,PK,8,216,M,1,2,390,317,Middle->Middle,S,0
34,2,2,CA,4,A,5,5,1,376,0,5,370,CA History,50,49,K->Middle,0.113832139636004,198,461,0,0,0.0,0.0,1,468,0.926742523586837,5,0,Private non-Christian,K,8,383,I,0,1,242,246,Elementary->Elementary,S-M,1
35,9,10,TX,19,A,4,5,0,256,4,5,316,Science,31,38,Middle->Middle,0.044274056672943,195,1931,18,2,0.507656849594895,0.147664380277017,0,1750,0.924116233308527,4,C,PUBLIC,6,8,729,K,1,1,194,198,Middle->Middle,M-L,0
38,8,8,MI,11,T,5,5,0,230,4,5,216,East Coast,64,68,Middle->Middle,0.074635398222167,162,641,43,4,0.681593422991577,0.161638770941081,0,620,0.972257351777173,4,A,PUBLIC,6,8,736,Q,1,0,0,0,Middle->Middle,M-L,1
40,6,6,NY,11,T,4,4,1,217,7,8,350,East Coast,107,107,Middle->High,0.139618587046066,151,643,58,2,0.494129530927057,0.09616830894528,0,648,0.939727852342294,9,A,PUBLIC,6,12,690,Q,0,2,189,161,Middle->Middle,M-L,1
41,10,10,TX,17,A,5,6,1,280,4,1,407,East Coast,12,13,Middle->Middle,0.009078364199357,200,1809,10,3,0.835355486714043,0.079319012224509,0,1766,0.89173041642757,1,B,PUBLIC,7,8,1243,L,0,2,389,259,Middle->Middle,L,0
43,6,6,FL,14,A,5,5,1,385,5,1,373,East Coast,5,7,Middle->Middle,0.00517455331751,245,1474,4,1,0.636349633636172,0.19344915842855,0,1511,0.858372811579367,1,C,PUBLIC,6,8,1057,L,1,1,245,252,Middle->Middle,L,1
44,6,8,TX,9,A,3,3,1,349,5,1,343,Science,6,6,Middle->Middle,0.004336091239569,111,1891,0,4,0.0,0.238090774813656,0,1737,0.838869516056717,1,B,PUBLIC,6,8,1019,Q,0,1,197,193,Middle->Middle,L,0
46,7,9,WA,16,A,6,7,1,290,20,1,449,East Coast,4,6,Middle->Middle,0.007381411313399,261,1917,2,6,0.400538268848912,0.227653576974894,0,2215,0.828995421182734,1,D,PUBLIC,6,8,626,E,1,1,272,269,Middle->Middle,M-L,0
48,8,10,CA,11,A,6,6,1,447,0,3,540,East Coast,16,22,K->Middle,0.032065260739083,244,1971,4,0,0.208174965815571,0.313333721328078,0,2193,0.890978956529352,3,B,PUBLIC,K,8,650,L,0,0,0,0,Middle->Middle,M-L,0
49,6,7,OR,22,A,6,7,1,283,5,1,454,East Coast,10,10,K->Middle,0.025543199831296,242,1789,4,3,0.385562959430936,0.400054621825386,0,1910,0.916848142228668,1,B,PUBLIC,K,8,367,J,0,2,404,294,Middle->Middle,S-M,0
50,8,8,CO,14,A,5,6,1,252,1,1,410,East Coast,13,13,PK->Middle,0.023690086809248,204,1855,7,1,0.634780583397565,0.07214777219623,0,1711,0.90824608669458,1,B,PUBLIC,PK,6,520,O,0,1,230,226,Middle->Middle,S-M,0
51,4,4,CA,3,A,6,6,1,306,5,5,414,CA History,134,138,K->Elementary,0.219210523782352,220,356,69,5,0.544689292617059,0.14565143872892,1,385,0.97060374815479,5,C,PUBLIC,K,5,656,Q,1,1,265,271,Elementary->Elementary,M-L,1
52,6,6,WA,26,A,4,5,1,230,6,3,423,East Coast,32,32,PK->High,0.024320327197792,188,2206,17,5,0.607420274945368,0.429883624424109,1,2011,0.866876887757748,3,0,CHD,PK,12,1058,F,0,1,228,221,Middle->Middle,L,1
53,6,7,CA,17,A,6,6,0,280,9,2,279,East Coast,11,15,K->Middle,0.016109024466198,205,2165,0,3,0.0,0.140680613309307,0,1911,0.903464988911252,2,B,PUBLIC,K,8,776,Q,1,1,260,262,Middle->Middle,M-L,0
55,7,8,OK,9,A,3,4,1,228,15,3,437,East Coast,34,38,PK->Middle,0.10967515014517,177,1567,22,9,0.617909563501666,0.162437693114415,0,1718,0.914615367771829,3,B,PUBLIC,PK,8,362,C,1,1,221,209,Middle->Middle,S-M,0
56,6,7,AR,15,A,6,7,0,273,10,1,292,Science,7,9,Middle->High,0.009668821464553,240,1799,7,5,0.758249065449124,0.207872187600437,0,1788,0.942990312757005,1,C,PUBLIC,7,9,931,B,1,1,276,278,Middle->Middle,L,0
57,9,10,NE,10,A,5,6,0,573,2,1,629,East Coast,12,14,K->High,0.044364615574438,221,1391,9,1,0.609404762295176,0.172392486656463,0,1208,0.904267361448766,1,B,PUBLIC,K,12,307,F,0,1,270,276,Middle->Middle,S,0
58,8,8,FL,14,A,3,4,1,365,2,2,351,East Coast,14,17,K->Middle,0.015922813653301,163,1169,9,1,0.5146038682271,0.276422778253819,0,1188,0.899247866261007,2,C,PUBLIC,K,8,1031,K,0,2,301,167,Middle->Middle,L,1
60,7,9,WA,18,A,4,4,1,190,2,1,423,Science,12,11,Middle->High,0.014665665548888,159,2234,7,2,0.661466851537078,0.100751212241188,0,1970,0.910949970533674,1,A,PUBLIC,7,9,644,O,0,1,191,187,Middle->High,M-L,0
62,10,11,WA,15,A,5,6,1,298,2,1,413,East Coast,20,23,PK->High,0.098953661726021,229,1669,9,2,0.416221595863455,0.115522688198411,0,1868,0.915633667356773,1,0,CHD,PK,11,210,L,1,0,0,0,High->High,S,0
63,7,7,NM,21,A,6,6,1,315,11,1,425,East Coast,11,14,Middle->Middle,0.010356892140629,230,2237,11,3,0.852639187502468,0.297721085208189,0,1942,0.883080200624269,1,C,PUBLIC,6,8,1185,F,0,2,377,277,Middle->Middle,L,1
65,8,8,CO,20,A,3,4,1,202,7,1,406,East Coast,21,20,Middle->Middle,0.016641303869696,168,2008,12,5,0.60754156836281,0.239802458220625,0,1836,0.967858081239939,1,B,PUBLIC,6,8,1067,P,0,1,187,184,Middle->Middle,L,1
66,6,6,CA,1,A,5,5,1,240,3,3,346,CA History,63,81,K->Elementary,0.121635711805578,197,425,19,1,0.232527621932577,0.210290099080208,1,409,0.979286726741796,3,B,PUBLIC,K,5,625,Q,1,0,0,0,Elementary->Elementary,M-L,1
67,8,8,OR,18,A,6,7,1,296,3,2,408,East Coast,20,24,Middle->Middle,0.029570814201861,216,1828,15,3,0.744836905186349,0.251057493905384,0,1925,0.938563844980113,2,B,PUBLIC,6,8,703,G,0,2,252,260,Middle->Middle,M-L,1
68,9,9,MI,12,T,2,2,1,169,3,4,337,East Coast,43,55,Middle->Middle,0.079662049590978,141,768,26,1,0.615136706189136,0.157639281265163,0,660,0.905620253336149,4,A,PUBLIC,6,8,550,Q,1,2,271,148,Middle->Middle,M-L,1
69,8,8,TN,12,T,3,4,1,204,6,5,399,East Coast,53,53,Middle->Middle,0.05817981298641,170,827,30,3,0.642100846268471,0.172406769977783,0,774,0.917816413100782,5,C,PUBLIC,6,8,801,F,1,1,181,181,Middle->Middle,M-L,1
70,5,6,WA,21,A,6,7,0,312,1,2,374,East Coast,19,19,Elementary->Middle,0.032712196798777,252,2544,10,0,0.581090600073069,0.140311022158532,0,2722,0.887551959933094,2,A,PUBLIC,5,6,550,P,1,1,277,267,Middle->Middle,S-M,0
71,9,9,TX,11,A,6,6,0,212,8,2,197,East Coast,14,19,Middle->Middle,0.013662229346965,175,1490,13,3,0.713577393164193,0.201943166762907,0,1616,0.892949616776159,2,C,PUBLIC,6,8,1159,L,1,1,200,203,Middle->Middle,L,0
73,7,7,IA,12,T,3,3,1,170,5,4,318,East Coast,42,42,Middle->Middle,0.174321220715461,134,917,29,3,0.736578259638352,0.130974365879403,0,935,0.868284592107107,4,B,PUBLIC,6,8,244,J,0,1,297,295,Middle->Middle,S,1
74,7,8,TN,15,A,5,5,1,283,4,3,418,East Coast,49,69,K->High,0.109184398184231,167,1747,38,3,0.692395173022653,0.294284152856152,0,1737,0.906410923083056,3,0,Private non-Christian,K,12,495,L,0,1,221,211,Middle->Middle,S-M,1
77,8,11,CA,10,A,6,7,0,292,34,1,293,Science,9,8,PK->Middle,0.036794185740028,258,1943,4,14,0.495608043293381,0.0,0,1818,0.932767434429144,1,D,PUBLIC,PK,8,211,G,0,1,289,297,Middle->High,S,1
78,9,9,MI,16,T,3,4,1,204,0,4,374,East Coast,49,46,PK->High,0.051225259626783,156,868,22,0,0.519495979863542,0.236516274481249,0,824,0.873221643475075,4,0,CHD,PK,12,943,O,0,1,195,186,High->High,L,1
79,10,10,TX,22,A,4,5,1,243,2,3,394,East Coast,40,45,PK->Middle,0.097636507913224,184,1370,30,0,0.887005926964379,0.209515349332105,0,1408,0.909325603884959,4,0,CHD,PK,8,419,L,0,1,231,237,Middle->Middle,S-M,1
80,7,9,CA,15,A,5,6,1,273,2,1,418,Costa Rica,6,8,Middle->Middle,0.005989405388198,232,2436,2,2,0.275458308428491,0.140301820794408,0,2269,0.85598369273744,1,B,PUBLIC,6,8,1138,Q,1,2,365,275,Middle->Middle,L,0
81,10,10,MI,10,A,5,5,1,283,14,13,446,East Coast,135,188,Middle->Middle,0.183758513501078,143,970,79,10,0.492636974983122,0.206812613084965,1,1022,0.923197003298454,16,B,PUBLIC,6,8,919,O,0,1,223,234,Middle->Middle,L,1
83,9,9,WA,24,A,6,7,0,290,2,5,282,East Coast,49,57,Middle->Middle,0.06870200155156,221,2452,27,1,0.587313368285661,0.178606047713128,0,2064,0.913977502930525,5,B,PUBLIC,6,8,614,O,1,1,266,258,Middle->Middle,M-L,1
85,6,6,KS,12,A,6,6,1,290,0,5,472,East Coast,71,77,Middle->Middle,0.361254021561906,212,1925,35,0,0.592186191635386,0.201111441385786,0,1783,0.92448690625361,6,B,PUBLIC,6,8,202,I,0,2,426,272,Middle->Middle,S,0
87,10,10,KS,12,A,5,6,1,292,5,3,464,East Coast,31,37,Elementary->Middle,0.08997232876444,227,1394,9,4,0.274628454519527,0.328965380467149,0,1429,0.924371882725168,3,B,PUBLIC,5,6,356,I,0,2,368,258,Middle->Middle,S-M,1
88,6,7,TN,10,A,3,3,0,233,1,1,237,East Coast,21,21,PK->Middle,0.081360557530849,139,1367,8,1,0.405010312622196,0.060012185304851,0,1328,0.973624826098657,1,0,Private non-Christian,PK,8,224,A,1,1,161,175,Middle->Middle,S,0
89,4,4,CA,6,A,5,5,1,265,4,1,412,CA History,35,42,K->Elementary,0.147614084028876,223,643,13,4,0.362813217681542,0.198800346177547,1,629,0.946223864418291,1,A,PUBLIC,K,5,246,P4,0,1,254,256,Elementary->Elementary,S,1
91,9,9,GA,8,T,6,6,0,242,6,1,242,East Coast,16,18,Middle->Middle,0.032274973785821,202,721,16,3,0.893979692409088,0.140283175411477,0,680,0.973689398569376,1,C,PUBLIC,6,8,544,D,1,2,243,224,Middle->Middle,S-M,1
93,9,10,CA,22,A,3,4,1,211,3,1,369,East Coast,9,12,Middle->Middle,0.007462260079574,161,2389,9,2,0.769497952629119,0.22963355679043,0,2334,0.929965954349687,1,B,PUBLIC,6,8,1357,Q,1,2,294,187,Middle->Middle,L,1
95,6,7,AL,7,A,6,6,1,292,3,1,424,East Coast,5,6,Middle->Middle,0.008491511566224,248,1295,4,2,0.81053680156688,0.345820320050152,0,1286,0.842245674776172,1,B,PUBLIC,7,8,552,K,0,1,268,271,Middle->Middle,M-L,0
96,5,6,MN,8,A,5,5,1,233,4,2,420,East Coast,16,17,Middle->Middle,0.014775344332878,190,1359,11,1,0.650353964087501,0.452175390025263,0,1261,0.881947064104962,2,A,PUBLIC,6,8,1093,M,0,2,255,218,Middle->Middle,L,1
97,6,6,MI,10,T,6,6,1,307,3,2,446,East Coast,36,43,Middle->High,0.084510686365128,248,451,25,2,0.653009181628993,0.259460839070147,0,458,0.923372861996845,2,B,PUBLIC,6,12,405,J,0,1,255,268,Middle->Middle,S-M,1
98,9,9,CA,26,A,4,5,1,381,15,9,574,East Coast,46,55,Middle->Middle,0.057191634082352,166,2283,25,8,0.525740676653418,0.086331277717523,0,2473,0.857522233986061,9,B,PUBLIC,6,8,866,L,1,1,241,238,Middle->Middle,L,1
99,8,8,MI,23,T,2,3,1,155,5,13,355,East Coast,154,191,Middle->Middle,0.280221304429029,100,718,54,3,0.257918885227047,0.01027409411609,0,641,0.93032125776985,12,A,PUBLIC,6,8,643,O,1,1,133,149,Middle->Middle,M-L,1
102,9,10,TX,10,A,6,6,0,253,13,2,274,East Coast,28,31,Middle->High,0.109440634011329,215,1660,23,12,0.710236812276494,0.17560405233959,0,1650,0.96663147835526,2,C,PUBLIC,6,12,304,C,0,1,235,239,Middle->Middle,S,0
103,9,12,CA,19,A,6,6,0,276,21,2,259,East Coast,19,20,High->High,0.009244775996898,211,2637,11,13,0.684301610140766,0.19527146700623,0,2289,0.876401753598711,2,C,PUBLIC,9,12,1951,E,1,1,233,234,High->High,L,0
104,6,7,CO,32,A,5,6,1,296,6,2,400,Costa Rica,21,19,Middle->Middle,0.022718693810636,211,2540,12,6,0.738740730146587,0.256626111960184,0,2513,0.932148814432105,2,A,PUBLIC,6,8,823,Q,1,1,247,234,Middle->Middle,M-L,0
105,7,8,KS,7,A,5,6,1,308,1,1,387,East Coast,20,19,Middle->Middle,0.033136337043802,194,1563,12,1,0.698972561024185,0.58973565012853,0,1580,0.902966180317428,1,A,PUBLIC,6,8,654,N,0,2,266,9,Middle->Middle,M-L,1
107,7,8,CA,21,A,6,6,1,263,5,3,446,East Coast,26,26,Elementary->Middle,0.067221549508695,230,2115,19,4,0.804387787628623,0.418223170319089,0,1958,0.856942273561117,3,B,PUBLIC,4,8,364,G,1,2,387,236,Middle->Middle,S-M,0
108,6,6,NE,16,A,5,6,1,300,5,3,484,East Coast,50,45,Middle->Middle,0.088126169766613,238,1865,25,4,0.590663902532872,0.377581142334704,0,1826,0.932115683649924,3,B,PUBLIC,6,8,505,H,0,1,257,260,Middle->Middle,S-M,1
109,7,8,CA,13,A,4,5,1,217,5,2,377,Costa Rica,16,21,Middle->Middle,0.021799109320274,162,2489,14,4,0.771371787242849,0.125637597267883,0,2259,0.927135449975366,2,C,PUBLIC,6,8,982,O,1,2,341,333,Middle->Middle,L,0
111,6,7,MI,22,T,4,4,0,198,17,2,208,East Coast,31,35,Middle->Middle,0.043529724992958,159,862,15,11,0.541385977899921,0.233737158640232,0,879,0.934474754660947,2,B,PUBLIC,6,8,722,K,1,1,184,177,Middle->Middle,M-L,0
112,9,9,CA,18,A,6,6,1,248,27,9,426,East Coast,82,103,Middle->Middle,0.058109784873161,218,2087,46,17,0.486322730724462,0.410805057602177,0,1903,0.894577288184265,8,B,PUBLIC,7,8,1591,O,1,0,0,0,Middle->Middle,L,1
113,6,7,CA,21,A,6,6,1,264,4,3,496,East Coast,39,37,Middle->Middle,0.05294988698727,218,2473,13,4,0.347472295861555,0.460158548400307,0,2598,0.901782818763741,3,C,PUBLIC,6,8,666,H,0,1,257,268,Middle->Middle,M-L,0
114,9,12,CA,31,A,6,7,1,240,5,1,240,Costa Rica,10,12,High->High,0.008874001000068,210,2630,7,0,0.587978183846489,0.096841542141307,0,2404,0.921806976845311,1,B,PUBLIC,9,12,1123,O,0,1,223,222,High->High,L,1
115,4,6,WA,24,A,4,4,1,209,1,3,462,East Coast,28,27,K->Middle,0.046854433477288,155,2229,14,1,0.560296275251273,0.257607531019252,0,2215,0.927917567321903,3,B,PUBLIC,K,8,523,K,1,1,200,184,Middle->Middle,S-M,0
116,10,10,WA,22,A,3,4,0,229,0,2,207,East Coast,14,13,Middle->Middle,0.041407440084307,155,2177,9,1,0.694290726790317,0.085564528133713,0,2040,0.855247403223166,2,A,PUBLIC,6,8,277,K,0,1,190,183,Middle->Middle,S,0
117,7,7,MI,16,T,5,5,1,161,0,3,387,East Coast,40,49,PK->Middle,0.121819094989503,328,844,0,0,0.0,0.0,1,759,0.878345746534335,4,0,CHD,PK,8,387,H,1,0,0,0,Middle->Middle,S-M,1
118,9,9,TX,10,A,3,3,1,157,6,2,313,East Coast,22,24,PK->Middle,0.057503064855497,134,1755,11,7,0.498538526214611,0.308193827204917,0,1929,0.937170505598606,2,0,Catholic,PK,8,343,N,0,2,315,312,Middle->Middle,S-M,1
119,9,9,IN,17,A,5,5,1,269,1,4,377,East Coast,27,38,PK->Middle,0.094224493140248,227,1471,11,1,0.360137759045146,0.18155167589434,0,1592,0.862145419372758,4,0,Private non-Christian,PK,8,348,E,0,1,254,253,Middle->Middle,S-M,1
120,5,5,CA,1,A,4,4,1,223,2,1,375,CA History,26,25,K->Elementary,0.040742761963245,129,370,9,3,0.408368864990495,0.134837985387554,0,413,0.952393996703182,1,B,PUBLIC,K,5,574,N,0,2,318,184,Elementary->Elementary,S-M,0
123,6,6,WA,13,A,4,5,1,224,8,2,434,East Coast,15,20,PK->Middle,0.096502846152062,202,1955,11,6,0.591349675768731,0.129253445223923,0,1801,0.880673178825901,2,0,Catholic,PK,8,157,F,1,2,367,232,Middle->Middle,S,0
125,6,7,CA,16,A,4,5,1,221,3,1,401,East Coast,8,10,K->Middle,0.010124790093779,182,2176,2,1,0.258248000162282,0.239321438940099,0,2128,0.902316543184989,1,C,PUBLIC,K,8,778,D,0,2,402,230,Middle->Middle,M-L,1
127,6,8,CA,14,A,4,4,1,189,3,1,343,Costa Rica,12,15,Middle->Middle,0.006290736561014,166,2810,10,2,0.787981024167489,0.09024068177716,0,2712,0.9478508026338,1,C,PUBLIC,6,8,1905,O,0,1,199,203,Middle->Middle,L,0
128,6,6,IA,10,A,6,6,1,284,2,1,461,East Coast,27,24,Middle->Middle,0.056367185979712,228,1163,16,2,0.635019260499452,0.221375337976395,0,1359,0.94413221889062,1,B,PUBLIC,6,8,485,L,0,1,273,273,Middle->Middle,S-M,1
129,7,11,FL,15,A,3,4,1,207,14,2,305,East Coast,17,18,Middle->Middle,0.073129778163571,165,1432,12,8,0.664397223408694,0.334946404100139,0,1629,0.913290968806771,2,C,PUBLIC,6,8,246,F,0,2,307,199,Middle->High,S,1
130,10,11,ID,13,A,3,4,1,211,3,2,404,East Coast,19,23,Middle->Middle,0.068797422486758,181,2133,15,5,0.791262522357754,0.196633409377987,0,1869,0.926155281215894,2,B,PUBLIC,6,8,278,I,1,2,386,175,Middle->High,S,0
131,7,9,TX,18,A,6,6,0,233,1,1,226,Science,7,8,Middle->Middle,0.026226540420853,201,1808,7,1,0.886266913269356,0.0,0,1780,0.85669434238237,1,C,PUBLIC,6,8,337,E,1,1,219,203,Middle->Middle,S,0
132,9,9,MN,7,A,6,6,1,279,2,2,433,East Coast,32,28,Elementary->Middle,0.027785472749532,241,1356,16,0,0.614786912295649,0.243301246444782,0,1186,0.890318520988833,2,A,PUBLIC,5,8,973,M,1,1,285,289,Middle->Middle,L,1
134,7,7,IN,6,A,2,2,1,194,8,5,371,East Coast,33,44,Middle->Middle,0.048246583936391,111,1144,30,5,0.730795615510775,0.270642738885228,0,1169,0.933740779191563,4,A,PUBLIC,7,8,771,P,0,1,185,187,Middle->Middle,M-L,1
135,3,3,CA,2,A,5,5,0,231,2,1,347,CA History,40,33,K->Elementary,0.056848002884411,211,414,27,2,0.699145983919386,0.099883571000187,1,438,0.963908591493092,1,C,PUBLIC,K,5,568,L,1,1,222,224,Elementary->Elementary,M-L,1
139,5,6,CA,18,A,4,5,1,420,2,3,410,East Coast,21,22,PK->Middle,0.173405156631824,190,2629,12,3,0.570243822206344,0.119431395449224,0,2708,0.888166109478944,3,0,CHD,PK,8,102,O,0,1,238,244,Middle->Middle,S,0
141,8,9,IN,11,T,5,6,1,280,8,3,464,East Coast,29,33,K->High,0.066541990441359,224,900,23,9,0.700088503250278,0.147285772562345,0,877,0.909621702416494,3,B,PUBLIC,K,12,518,Z,1,1,268,267,Middle->High,S-M,0
143,6,6,CA,24,A,6,7,1,298,0,1,456,East Coast,20,21,Middle->Middle,0.039469484207846,228,2533,14,0,0.564189303383794,0.158836794247341,0,2603,0.912121879241644,1,B,PUBLIC,6,8,575,P,0,1,276,265,Middle->Middle,S-M,0
144,6,6,CA,8,A,5,6,1,297,3,1,375,CA History,21,20,K->Middle,0.04739164653667,206,573,5,1,0.270974278572324,0.42267583635582,1,566,0.980182087294498,1,B,PUBLIC,K,6,437,M,1,2,255,226,Elementary->Elementary,S-M,0
145,9,10,CO,23,A,6,7,1,299,2,7,502,East Coast,58,67,Elementary->Middle,0.257639578745005,230,1934,37,1,0.622117246230719,0.227917473999832,0,1670,0.877066802669414,8,C,PUBLIC,5,8,225,F,0,1,279,268,Middle->Middle,S,0
147,4,6,CA,3,A,4,4,1,201,15,1,429,CA History,22,22,PK->Middle,0.035038198272062,132,580,13,12,0.520036813350636,0.247356024350524,0,627,0.997929311467934,1,B,PUBLIC,PK,6,683,O,1,1,395,381,Elementary->Middle,M-L,0
