final_ID,From_Grade,To_Grade,Group_State,Days,Travel_Type,Departure_Month,Return_Month,Early_C,Days_LCtoDD,Cancelled_Pax,Total_Discount_Pax,Days_InitialOrgtoDD,SPR_Product_Type,FPP,Total_Pax,GroupGradeType,FPP_to_School_enrollment,Days_DeptoDD,Tuition,FRP_Active,FRP_Cancelled,FRP_Take_up_percent_,EZ_Pay_Take_Up_Rate,School_Sponsor,SPR_Group_Revenue,FPP_to_PAX,Num_of_Non_FPP_PAX,Poverty_Code,School_Type,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,SPR_New_Existing,NumberOfMeetingswithParents,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeType,SchoolSizeIndicator
137,7,7,CO,17,A,3,4,0,169,2,1,189,East Coast,13,16,K->Middle,0.018113128312112,131,1756,9,2,0.668952742123151,0.164798149884496,0,1800,0.929611384238638,1,B,PUBLIC,K,8,771,P,0,1,161,171,Middle->Middle,M-L
142,10,10,MI,10,A,4,5,1,258,9,4,356,East Coast,62,60,Middle->Middle,0.040906189851076,193,1143,38,11,0.735988275619643,0.29291757009431,0,1124,0.957561227759199,4,B,PUBLIC,6,8,1308,J,1,1,209,211,Middle->Middle,L
161,6,9,OR,16,A,3,3,1,196,3,1,332,East Coast,12,11,Middle->Middle,0.014390947202259,160,1720,5,0,0.449457589533096,0.336837648975061,0,1750,0.947999891411919,1,C,PUBLIC,6,8,708,I,0,2,187,185,Middle->High,M-L
162,6,6,OK,13,A,6,6,1,311,0,1,479,East Coast,6,7,PK->Elementary,0.011946008056925,227,1676,4,0,0.806496473147707,0.460159096594225,0,1908,0.854727191096252,1,C,PUBLIC,PK,5,431,I,0,2,465,300,Elementary->Elementary,S-M
166,9,10,MN,9,A,2,3,1,420,2,1,428,East Coast,23,22,PK->Middle,0.10256264119885,125,1613,12,1,0.578509787702876,0.130168112038369,0,1482,0.99525881086928,1,0,Catholic,PK,8,219,N,0,1,400,396,Middle->Middle,S
178,10,10,WA,16,A,3,4,1,201,6,2,371,East Coast,19,21,Middle->High,0.026240594791734,172,1869,12,2,0.661286404210635,0.163375739133031,0,1990,0.905527215968864,2,B,PUBLIC,7,9,684,L,1,1,201,188,Middle->Middle,M-L
183,6,6,CA,13,A,4,5,1,232,3,3,461,East Coast,33,42,K->Middle,0.11945552198402,207,2022,28,3,0.740861181008779,0.339175097972696,0,2171,0.894244715816049,3,0,Catholic,K,8,341,N,0,1,383,368,Middle->Middle,S
184,7,7,CA,12,A,5,5,1,238,2,2,462,East Coast,20,21,PK->Middle,0.07708271252115,174,2455,15,3,0.919411301848031,0.189919790969126,0,2355,0.920414258921929,2,0,Private non-Christian,PK,8,215,Z,0,0,0,0,Middle->Middle,S
211,5,6,WA,8,A,6,6,1,294,0,1,466,East Coast,16,19,K->High,0.021350849884245,251,1842,13,0,0.851098907742853,0.132579352507239,0,1979,0.938113849415208,1,0,CHD,K,12,772,J,1,1,262,259,Middle->Middle,M-L
214,6,11,WA,8,A,4,4,1,234,3,1,540,East Coast,12,11,PK->High,0.019141141390189,187,1984,8,3,0.814298330633056,0.43154366762884,0,1686,0.906083399884183,1,0,CHD,PK,12,563,H,0,1,364,363,Middle->High,S-M
234,6,7,LA,16,A,4,4,1,243,2,13,408,East Coast,37,53,PK->Middle,0.124022766861558,180,1519,0,0,0.0,0.0,0,1766,0.812939719181726,13,0,CHD,PK,8,322,C,0,1,220,221,Middle->Middle,S-M
237,10,10,CA,16,A,3,4,1,230,1,2,321,East Coast,27,24,PK->Middle,0.090671155535176,129,1789,7,0,0.265421851491008,0.212953818990477,0,1870,0.954223628825142,2,0,CHD,PK,8,230,P,0,1,196,197,Middle->Middle,S
241,7,7,CO,29,A,5,6,1,275,7,5,466,East Coast,53,54,K->High,0.042883742183586,216,2007,48,8,0.854762953475585,0.182878831163576,0,2218,0.887985429118541,5,C,PUBLIC,K,12,1241,L,1,2,456,262,Middle->Middle,L
297,10,10,CA,20,A,5,6,1,497,0,5,461,East Coast,32,33,K->Middle,0.119194083650092,354,1945,11,0,0.331518029446687,0.205585496503604,0,2238,0.83641020736511,4,0,Private non-Christian,K,8,237,O,0,1,246,252,Middle->Middle,S
299,6,6,IL,12,T,5,6,0,133,11,5,122,East Coast,25,32,PK->Middle,0.042422662507024,96,995,9,9,0.340758414813319,0.0,0,855,0.83789455623112,5,C,PUBLIC,PK,8,620,P,0,1,118,110,Middle->Middle,M-L
307,5,6,WI,7,A,6,6,1,306,0,3,428,East Coast,22,31,Middle->Middle,0.102987909018855,258,1251,18,2,0.666479610039552,0.428476074285018,0,1287,0.896476325786258,3,B,PUBLIC,6,8,262,L,0,1,244,253,Middle->Middle,S
318,9,10,NE,15,A,5,6,1,272,7,6,777,East Coast,35,40,K->High,0.117816310403207,249,2012,20,8,0.596909353754446,0.453404326022898,0,1758,0.844418388822483,5,B,PUBLIC,K,12,291,J,1,1,750,751,High->High,S
321,6,6,CA,23,A,4,5,1,233,4,4,384,East Coast,41,46,Middle->Middle,0.027406893469003,190,2120,26,4,0.661695481780338,0.160071540449046,0,2178,0.844608717533485,5,B,PUBLIC,6,8,1369,P,0,1,221,215,Middle->Middle,L
327,7,9,OK,12,A,5,6,1,270,4,2,448,East Coast,22,20,Middle->Middle,0.114366992524172,208,1500,11,1,0.608155739579239,0.560092902975142,0,1724,0.877608036536516,2,B,PUBLIC,7,8,161,G,1,2,410,257,Middle->Middle,S
335,3,7,OR,21,A,4,5,1,258,0,2,393,Science,21,18,K->Middle,0.056934831712221,189,2432,7,0,0.406933646524984,0.408098997901005,0,2572,0.885457093075776,2,C,PUBLIC,K,6,326,G,1,1,257,256,Elementary->Middle,S
337,8,9,AZ,18,A,4,5,1,245,7,2,345,East Coast,13,17,Middle->Middle,0.03613849772308,180,1897,11,4,0.896140738945383,0.078638208772813,0,1844,0.913518483250885,2,C,PUBLIC,7,8,387,I,1,1,219,227,Middle->Middle,S-M
345,9,9,TX,11,A,5,6,1,282,4,1,420,East Coast,6,7,Middle->High,0.017943267914278,252,1475,5,4,0.805767261133235,0.331675219618937,0,1564,0.845359376633185,1,B,PUBLIC,6,12,362,L,0,1,425,424,Middle->Middle,S-M
358,9,12,NC,22,A,4,5,1,258,5,3,348,Costa Rica,17,21,High->High,0.019405438994971,183,2675,14,4,0.717079421192106,0.238815710214305,0,2732,0.798184959896131,4,C,PUBLIC,9,12,971,E,1,1,344,351,High->High,L
363,5,6,CA,6,A,4,4,1,193,6,1,414,East Coast,4,5,K->Middle,0.008587708543936,135,2170,1,4,0.197034071635295,0.216641818763839,0,2289,0.865553420761581,1,B,PUBLIC,K,8,552,L,0,0,0,0,Middle->Middle,S-M
372,6,8,CA,24,A,5,6,1,290,6,2,425,Science,8,10,K->Middle,0.041581381391986,205,1733,2,1,0.290875949793041,0.0,1,1717,0.785378508323702,2,0,CHD,K,8,186,P,0,2,387,231,Middle->Middle,S
374,8,9,MN,9,A,5,5,1,253,4,2,442,East Coast,18,19,Middle->Middle,0.014572595154131,177,1369,9,1,0.643819403996274,0.536389883892313,0,1381,0.885721927638955,2,A,PUBLIC,6,8,1170,M,0,2,244,218,Middle->Middle,L
385,8,9,CA,19,A,4,5,1,255,8,4,427,East Coast,52,54,Elementary->High,0.130711841191938,196,1850,25,7,0.505410140218296,0.241816989524726,0,1829,0.900596154659076,3,B,PUBLIC,5,12,392,O,0,1,226,211,Middle->Middle,S-M
398,9,9,IL,13,A,5,6,1,262,8,3,385,East Coast,27,34,Elementary->Middle,0.092739569463217,175,1068,18,7,0.582894533687694,0.362972019363385,0,1156,0.91466928034692,3,B,PUBLIC,5,8,337,J,0,1,268,260,Middle->Middle,S
402,5,5,IA,10,A,3,3,1,201,2,5,307,East Coast,64,71,Middle->Middle,0.077298327767532,170,1268,29,2,0.521926150403353,0.322185118675398,0,1250,0.937361677214389,6,A,PUBLIC,6,8,829,O,0,1,295,297,Middle->Middle,M-L
404,8,9,TX,16,A,6,6,0,278,8,2,605,CA History,20,19,Middle->Middle,0.112624789501506,205,1571,9,5,0.570697354837631,0.064289932337205,0,1663,0.910552314857857,2,C,PUBLIC,6,8,145,G,1,0,0,0,Middle->Middle,S
420,7,7,WI,14,A,6,6,1,301,5,2,602,East Coast,14,17,Elementary->Middle,0.053003723612088,240,1213,14,5,0.902246071106484,0.514711615087709,0,1232,0.893567914878724,2,A,PUBLIC,5,8,308,L,0,1,281,265,Middle->Middle,S
436,6,6,CA,17,A,3,4,0,200,6,1,226,East Coast,14,14,Middle->Middle,0.01613952108948,168,2101,11,4,0.771791029678913,0.29121231456602,0,2343,0.888010535345761,1,B,PUBLIC,7,8,847,Q,0,1,220,213,Middle->Middle,L
448,8,9,AR,13,A,6,6,1,273,1,1,433,East Coast,9,12,Middle->Middle,0.026544799265749,215,1577,9,0,0.834747528534045,0.307228460123888,0,1669,0.914683959779787,1,B,PUBLIC,6,8,439,J,1,1,256,255,Middle->Middle,S-M
455,4,6,TX,9,A,6,6,0,227,1,1,225,Science,7,8,Middle->Middle,0.025513051160185,205,1631,7,1,0.849641462081402,0.0,0,1547,0.898621093091011,1,C,PUBLIC,6,8,312,E,0,1,212,210,Middle->Middle,S
459,9,9,MN,11,A,3,3,1,228,5,6,371,East Coast,91,87,Middle->High,0.070532916044504,151,1401,52,3,0.620433975866293,0.318555908929616,0,1374,0.942756310883147,5,A,PUBLIC,6,9,1025,Q,0,2,167,170,High->High,L
469,7,7,CA,30,A,4,5,1,333,0,6,346,East Coast,57,67,Middle->High,0.147358343689118,179,2071,43,0,0.652933892391149,0.169517368761229,0,2180,0.955618915004939,5,0,Private non-Christian,6,12,382,Q,1,0,0,0,Middle->Middle,S-M
470,8,8,MO,9,A,6,6,1,246,0,1,451,East Coast,13,12,PK->Middle,0.054078830117582,246,1655,12,0,0.899892702987287,0.333978857229612,0,1440,0.96415224106111,1,0,Catholic,PK,8,209,B,0,2,437,277,Middle->Middle,S
477,7,7,NY,11,T,4,4,1,247,5,5,393,East Coast,72,67,Middle->Middle,0.055721816282137,189,711,28,3,0.443483542680141,0.174496565577156,0,705,0.945687512182938,6,B,PUBLIC,6,8,1209,M,1,0,0,0,Middle->Middle,L
485,4,6,WA,14,A,6,7,0,308,1,2,297,East Coast,19,21,Middle->Middle,0.015554043818145,236,2070,12,1,0.774108789755026,0.201326399459566,0,2266,0.87133743457032,3,A,PUBLIC,6,8,1027,Q,1,2,294,266,Middle->Middle,L
495,9,9,CA,17,A,6,6,0,231,9,4,245,East Coast,13,17,Middle->High,0.024675035780228,173,1939,5,4,0.357181351313781,0.082221410327222,0,1691,0.817734083002495,3,C,PUBLIC,6,9,515,E,0,1,213,206,Middle->Middle,S-M
506,6,7,AZ,12,A,4,4,1,239,7,2,337,East Coast,13,16,Middle->Middle,0.035747376310487,189,1843,13,4,0.83824939287869,0.059173672803994,0,1741,0.841572284405564,2,C,PUBLIC,7,8,373,I,0,1,223,235,Middle->Middle,S-M
511,8,8,TX,16,A,5,6,0,279,14,8,286,East Coast,60,73,Middle->Middle,0.067955226777546,221,1501,40,15,0.689491340071596,0.229705505992593,0,1546,0.923471929492983,8,A,PUBLIC,6,8,946,Q,1,1,273,256,Middle->Middle,L
516,6,6,CA,22,A,6,7,1,375,4,1,385,Costa Rica,4,6,Middle->Middle,0.007911491345103,157,2224,2,2,0.398828430474007,0.165817806524074,0,2462,0.841492281899237,1,C,PUBLIC,7,8,713,O,1,1,284,275,Middle->Middle,M-L
528,8,9,WA,19,A,3,4,1,216,1,1,488,East Coast,7,7,Middle->Middle,0.011656112324891,141,1646,0,1,0.0,0.0,0,1798,0.906356686847623,1,A,PUBLIC,6,8,615,P,0,2,297,186,Middle->Middle,M-L
536,7,7,CT,12,T,6,6,1,252,17,21,382,East Coast,131,191,Middle->Middle,0.145208962056128,357,767,121,12,0.750180999254029,0.22473733053762,0,787,0.911746983401101,18,B,PUBLIC,6,8,1135,M,1,0,0,0,Middle->Middle,L
553,10,10,WI,14,A,6,6,1,306,0,1,483,East Coast,15,16,Middle->Middle,0.026380285645096,228,1273,11,0,0.813273077674949,0.261477821359647,0,1271,0.962891292792752,1,B,PUBLIC,6,8,482,N,1,1,244,252,Middle->Middle,S-M
570,10,13,TX,9,A,6,6,1,305,1,1,444,East Coast,8,11,High->High,0.033389594983853,256,2080,9,0,0.888663500455743,0.325992412310966,0,2180,0.872926685404321,1,B,PUBLIC,9,12,271,I,1,2,405,241,High->High,S
616,9,9,CA,20,A,6,7,1,299,6,3,470,East Coast,46,43,Middle->Middle,0.0917649789975,203,2154,29,6,0.676177721332538,0.636519071834921,0,2079,0.943701708191763,3,A,PUBLIC,7,8,501,N,0,1,277,279,Middle->Middle,S-M
617,7,9,CA,28,A,4,5,1,199,3,1,307,Costa Rica,14,15,Middle->Middle,0.006561934238026,160,2678,10,2,0.784435738080589,0.069455830673735,0,2378,0.956227345318241,1,C,PUBLIC,6,8,1964,O,1,1,208,202,Middle->Middle,L
621,7,7,CA,27,A,6,7,1,261,7,3,397,East Coast,27,29,Middle->Middle,0.043001600704333,213,1994,17,4,0.671348103749947,0.425684524026342,0,2269,0.915196461232265,3,A,PUBLIC,6,8,701,Q,1,1,259,251,Middle->Middle,M-L
632,10,10,CA,13,A,6,6,1,283,20,9,432,East Coast,75,102,Middle->Middle,0.057970499165808,226,1857,39,16,0.490556022751412,0.402683256293806,0,1852,0.886914142276029,9,B,PUBLIC,7,8,1408,O,1,0,0,0,Middle->Middle,L
637,4,4,CA,3,A,6,6,0,271,2,2,392,CA History,43,34,PK->Middle,0.074147060301523,208,601,22,4,0.558999662811859,0.098756108017259,1,594,0.901458466646553,2,0,Private non-Christian,PK,8,494,M,1,1,269,260,Elementary->Elementary,S-M
645,9,10,CO,11,A,6,6,1,274,9,2,472,East Coast,26,27,Middle->High,0.095867412552337,223,1988,13,8,0.502930687756038,0.274037722590965,0,2103,0.90996996260946,2,B,PUBLIC,7,12,290,N,0,1,272,280,Middle->Middle,S
654,9,9,GA,11,T,5,5,0,199,8,8,229,East Coast,79,85,Middle->Middle,0.096723014437134,161,450,24,2,0.296703310757051,0.234658190179203,0,435,0.842731465241195,9,C,PUBLIC,6,8,829,L,1,1,191,180,Middle->Middle,M-L
660,10,10,IL,10,A,3,3,1,226,19,12,384,East Coast,95,127,Middle->Middle,0.109593770324825,163,1042,89,17,0.737834089343753,0.334750212217849,0,937,0.90040584878936,10,A,PUBLIC,6,8,1003,Q,1,1,196,187,Middle->Middle,L
668,10,11,OR,31,A,6,7,1,288,5,1,459,Costa Rica,4,5,High->High,0.002550106010533,243,2680,3,1,0.764172335860952,0.0,0,2379,0.82744684742576,1,C,PUBLIC,9,12,1450,J,1,1,430,447,High->High,L
691,7,9,CA,17,A,3,4,1,396,7,1,383,Science,11,14,Middle->Middle,0.012321125475604,131,2131,8,3,0.657315100839402,0.262757766215981,0,2435,0.904317085174728,1,B,PUBLIC,7,8,1030,Q,0,2,318,279,Middle->High,L
694,7,7,CA,19,A,4,5,1,251,2,1,368,East Coast,13,12,Middle->Middle,0.013450678871667,184,2076,8,1,0.694706121628187,0.073211414393434,1,1763,0.928433781959741,1,B,PUBLIC,6,8,878,J,1,1,201,219,Middle->Middle,L
702,9,9,NC,21,T,4,4,1,415,1,5,420,East Coast,30,39,K->High,0.103309554661262,313,960,0,0,0.0,0.0,0,1033,0.881022379977008,4,0,CHD,K,9,410,O,1,0,0,0,Middle->Middle,S-M
715,9,9,IL,5,A,2,2,1,203,7,12,390,East Coast,80,114,Middle->Middle,0.163107312068087,143,1057,74,5,0.816901708018225,0.352757752021869,0,1009,0.906481927027117,11,A,PUBLIC,6,8,592,Q,1,0,0,0,Middle->Middle,M-L
720,8,8,MI,23,T,4,4,1,213,3,4,384,East Coast,60,69,PK->Middle,0.12932991896629,162,759,31,6,0.43821771599728,0.125746352341112,0,762,0.898251386973951,4,0,Catholic,PK,8,504,F,1,1,210,202,Middle->Middle,S-M
725,7,8,MN,7,B,5,5,1,247,2,3,354,East Coast,15,15,Middle->Middle,0.023870131163291,186,745,8,2,0.639335367708673,0.156161816636845,0,702,0.838812533644691,3,C,PUBLIC,6,8,543,I,0,1,201,208,Middle->Middle,S-M
730,10,10,IL,25,T,4,5,1,255,1,2,416,East Coast,31,35,Middle->Middle,0.052581536603047,198,955,6,0,0.188328881393884,0.0,0,862,0.935185037516515,2,C,PUBLIC,6,8,659,M,1,0,0,0,Middle->Middle,M-L
746,10,10,MN,14,A,3,3,1,229,5,2,387,East Coast,5,9,Middle->Middle,0.011998670395489,159,1673,4,6,0.647921597125123,0.138518411738285,0,1591,0.736243989577215,2,C,PUBLIC,6,8,467,J,1,1,186,196,Middle->Middle,S-M
747,9,10,CO,20,A,6,6,0,340,6,2,328,East Coast,9,13,Middle->Middle,0.015842632328554,201,2130,7,4,0.716440873006252,0.526481108940455,0,1881,0.792873793811874,2,B,PUBLIC,6,8,695,G,0,1,226,238,Middle->Middle,M-L
749,9,9,HI,26,A,6,6,0,159,1,3,382,East Coast,32,32,K->High,0.00850869203928,181,4573,26,1,0.773289240878644,0.098988044481963,0,4254,0.932357121016023,3,0,Private non-Christian,K,12,4066,L,1,0,0,0,Middle->Middle,L
755,4,5,TX,9,A,6,6,0,225,1,1,267,East Coast,6,6,PK->Middle,0.008314160779285,203,1470,5,0,0.961418990406869,0.342482601042637,0,1437,0.830883807276209,1,B,PUBLIC,PK,6,622,N,1,1,228,233,Elementary->Middle,M-L
764,8,8,MN,15,A,5,6,0,336,0,3,328,East Coast,44,53,PK->High,0.077685500442639,248,1469,37,0,0.641762589938652,0.171132392509168,0,1756,0.949979064367182,3,0,Private non-Christian,PK,12,638,M,1,1,254,238,Middle->Middle,M-L
768,9,9,KS,9,A,5,6,1,268,0,6,483,East Coast,61,64,Middle->Middle,0.335340813024072,217,1830,38,0,0.625893522589948,0.278857253201383,0,1744,0.877836582972148,6,B,PUBLIC,6,8,201,I,0,2,421,256,Middle->Middle,S
773,5,5,CA,3,T,5,5,0,215,2,3,362,CA History,110,114,K->Middle,0.205119065996017,186,154,0,0,0.0,0.0,1,143,0.931339044871105,3,0,CHD,K,8,492,O,0,1,215,221,Elementary->Elementary,S-M
785,6,7,CA,22,A,6,6,0,274,5,3,301,East Coast,38,34,Middle->High,0.050830711473561,191,2164,22,3,0.642428297565864,0.169324303286364,0,2186,0.900603351427812,3,0,Catholic,7,12,637,K,0,0,0,0,Middle->Middle,M-L
796,9,11,ID,17,A,5,6,0,297,3,1,267,East Coast,8,10,High->High,0.009214947078197,123,2454,8,1,0.790651801083331,0.11786041570656,0,2491,0.860118162323827,1,B,PUBLIC,9,12,883,J,0,1,209,204,High->High,L
804,6,6,CA,12,A,4,4,0,219,2,2,288,East Coast,11,13,Middle->Middle,0.010590715750776,158,2314,6,1,0.644336052396438,0.266102747955256,0,2040,0.80820063673241,2,B,PUBLIC,7,8,1103,M,1,1,210,214,Middle->Middle,L
825,4,6,IN,12,A,6,7,0,330,4,1,360,East Coast,4,5,Middle->Middle,0.005816723365544,241,1464,4,3,0.955314093518263,0.0,0,1463,0.807895793671952,1,C,PUBLIC,6,8,729,G,1,1,283,272,Middle->Middle,M-L
839,6,6,IL,9,A,6,6,0,258,6,2,290,East Coast,20,27,Middle->Middle,0.067056550967008,182,1306,19,5,0.889326012392116,0.538512362754303,0,1132,0.904921635055047,2,A,PUBLIC,7,8,333,O,1,1,263,259,Middle->Middle,S-M
840,6,6,TX,12,A,3,3,1,189,2,2,379,East Coast,15,19,Middle->Middle,0.033976325300555,156,1669,13,3,0.733950834446044,0.186590645340284,0,1750,0.934196708002302,2,B,PUBLIC,6,8,529,P,1,1,184,170,Middle->Middle,S-M
842,6,6,AZ,23,A,5,6,1,273,5,3,377,East Coast,30,36,Elementary->Middle,0.036468309501179,201,1682,20,4,0.740099798679039,0.20257783395944,0,1616,0.928435199305494,3,B,PUBLIC,5,8,867,I,0,2,367,252,Middle->Middle,M-L
845,10,13,CA,24,A,5,6,1,447,2,1,445,Science,9,9,High->High,0.009168959986534,190,2658,7,2,0.777599437318767,0.133302684712944,0,2435,0.883545260100358,1,B,PUBLIC,9,12,968,N,1,1,264,257,High->High,L
860,7,8,VA,17,A,6,7,1,292,2,1,462,Science,11,12,Middle->Middle,0.011904444495508,240,2081,8,2,0.809601095709086,0.776952744253833,0,1793,0.942803085014118,1,B,PUBLIC,6,8,919,O,0,2,419,253,Middle->Middle,L
863,9,10,CA,13,A,3,4,1,387,6,3,437,East Coast,48,51,PK->High,0.118393546649762,175,2036,20,1,0.424677307098447,0.109586912869443,1,1956,0.958808485969973,3,0,CHD,PK,12,500,M,0,1,201,200,Middle->Middle,S-M
869,9,9,IL,10,A,3,4,1,357,3,1,346,East Coast,6,6,Middle->Middle,0.008154328226628,143,1036,5,3,0.97965013439992,0.0,0,1090,0.865477155691074,1,C,PUBLIC,6,8,647,I,1,2,339,187,Middle->Middle,M-L
878,5,6,AL,24,T,5,5,1,234,10,3,480,East Coast,33,34,K->High,0.043860109298064,211,1095,28,9,0.788728768407553,0.252707819425634,0,1057,0.947032243188245,3,C,PUBLIC,K,12,765,D,1,2,442,230,Elementary->Middle,M-L
879,5,6,CA,4,A,5,5,0,268,3,2,591,CA History,21,21,PK->Middle,0.105767966959793,176,628,3,0,0.161858652945105,0.0,1,623,0.895824529990651,2,0,CHD,PK,8,178,M,1,2,228,215,Elementary->Elementary,S
903,10,10,IN,8,A,6,6,1,291,0,4,433,East Coast,33,37,PK->Middle,0.061623312779203,210,1104,25,0,0.802763297870409,0.290421496240591,0,1031,0.872964121229884,4,0,Catholic,PK,8,518,O,1,1,267,256,Middle->Middle,S-M
905,11,12,LA,18,A,5,6,0,250,2,1,242,East Coast,3,5,High->High,0.005368414414533,209,1473,4,1,0.965181860178253,0.203848079547671,0,1560,0.772346340944316,1,B,PUBLIC,9,12,759,G,0,0,0,0,High->High,M-L
932,10,10,OH,15,T,6,6,1,264,2,3,410,East Coast,25,28,Middle->Middle,0.069073360826583,204,805,12,1,0.493889101774416,0.274212340130492,0,775,0.897552733078001,3,A,PUBLIC,7,8,329,N,1,1,237,239,Middle->Middle,S-M
972,10,10,TX,15,A,5,6,1,271,2,4,440,East Coast,63,73,PK->High,0.066763941893943,231,1769,53,4,0.807401841128343,0.275152948559151,0,1572,0.944973817140032,4,0,CHD,PK,12,1096,M,1,1,224,226,Middle->Middle,L
978,6,6,TN,19,T,5,6,0,270,4,2,343,East Coast,33,33,PK->Middle,0.056396838568622,185,848,24,4,0.734975126674385,0.242157694479712,0,745,0.91148421053128,2,A,PUBLIC,PK,8,602,O,1,1,256,254,Middle->Middle,M-L
993,8,9,CA,17,A,5,6,1,252,8,2,382,East Coast,27,31,Middle->High,0.007937447655029,179,1951,20,4,0.724703345499813,0.118419477813991,0,2021,0.950998839356868,2,B,PUBLIC,7,12,3404,P,1,1,239,242,Middle->Middle,L
995,7,8,TN,17,A,5,6,1,248,4,4,471,East Coast,40,49,Elementary->Middle,0.082035731468712,214,1590,35,4,0.79393742486924,0.29871982867439,0,1597,0.950227431577047,3,B,PUBLIC,4,8,525,I,0,1,249,252,Middle->Middle,S-M
1005,2,2,CA,2,A,4,4,1,221,3,1,329,CA History,21,26,PK->Middle,0.077347974164182,140,424,14,4,0.641552976799831,0.04344156225877,1,439,0.97228002001942,1,0,CHD,PK,6,315,P,1,0,0,0,Elementary->Elementary,S
1023,6,6,CA,17,A,2,3,1,173,2,4,346,East Coast,26,36,Middle->Middle,0.042431926503598,133,2270,20,1,0.609173366782934,0.113187039458131,0,2127,0.925799610929864,4,B,PUBLIC,6,8,737,L,1,1,168,170,Middle->Middle,M-L
