ID_SALES,Program_Code,From_Grade,To_Grade,Group_State,Days,Travel_Type,Departure_Date,Return_Date,Early_RPL,Latest_RPL,Cancelled_Pax,Total_Discount_Pax,Initial_System_Date,SPR_Product_Type,FPP,Total_Pax,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,FPP_to_School_enrollment,Retained
CC2983A,CC,10,10,OR,14,A,03/16/2019,03/30/2019,,,0,1,07/10/2018,East Coast,5,7,January,K,Middle,K->Middle,C,"0,103677656905358",1
CC3086A,CC,7,12,CA,12,A,03/09/2019,03/21/2019,11/08/2017,10/26/2017,16,5,10/24/2017,East Coast,36,36,January,PK,High,PK->High,C,"0,051703318345869",0
CC3121A,CC,10,11,CA,26,A,06/16/2019,07/12/2019,04/01/2018,09/29/2018,15,2,05/01/2018,East Coast,29,28,January,High,High,High->High,C,"0,059325776065707",0
CC3151A,CC,8,8,CA,27,A,04/29/2019,05/26/2019,05/16/2018,04/22/2018,11,7,04/01/2018,East Coast,77,82,January,PK,Middle,PK->Middle,C,"0,137685199650476",1
CC3238A,CC,8,10,TX,12,A,05/17/2019,05/29/2019,02/18/2018,03/19/2018,3,1,03/13/2018,East Coast,9,10,January,Middle,High,Middle->High,C,"0,035247232757964",1
CC3246A,CC,9,9,CA,14,A,04/27/2019,05/11/2019,04/18/2018,05/13/2018,10,7,05/02/2018,East Coast,66,80,January,PK,Middle,PK->Middle,C,"0,133476807383909",1
CC3442A,CC,11,11,WA,16,A,04/04/2019,04/20/2019,05/11/2018,08/28/2018,2,2,04/14/2018,East Coast,25,36,January,Middle,High,Middle->High,C,"0,057120747578294",1
CC3480A,CC,6,6,CA,20,A,05/02/2019,05/22/2019,02/28/2018,08/18/2018,14,8,02/05/2018,East Coast,53,71,January,High,High,High->High,C,"0,10109670843895",1
CC3817A,CC,10,10,AZ,29,A,01/29/2019,02/27/2019,01/29/2018,01/28/2018,0,3,02/13/2018,East Coast,46,59,December,Middle,High,Middle->High,C,"0,104931383042755",1
CC3983A,CC,7,7,CA,29,A,04/06/2019,05/05/2019,05/04/2018,05/09/2018,2,1,04/24/2018,East Coast,27,25,January,K,High,K->High,C,"0,12934214948135",1
CC4490A,CC,8,8,CA,20,A,05/08/2019,05/28/2019,01/29/2018,08/05/2018,6,3,01/15/2018,East Coast,26,27,January,PK,Middle,PK->Middle,C,"0,140586966975857",1
CC4524A,CC,9,10,CA,30,A,06/21/2019,07/21/2019,03/04/2018,10/20/2018,11,7,02/22/2018,East Coast,57,61,January,Middle,Middle,Middle->Middle,C,"0,249796930715866",0
CC4930A,CC,10,10,CA,30,A,05/06/2019,06/05/2019,03/09/2018,07/31/2018,6,2,02/02/2018,East Coast,21,27,January,K,Middle,K->Middle,C,"0,121102882665209",1
CC712A,CC,8,13,CA,15,A,03/12/2019,03/27/2019,10/18/2017,10/15/2017,14,4,10/10/2017,East Coast,27,35,January,PK,High,PK->High,C,"0,05442671287598",0
CC944A,CC,9,10,CA,43,A,06/14/2019,07/27/2019,03/31/2018,09/13/2018,17,2,04/25/2018,East Coast,26,29,January,High,High,High->High,C,"0,064343690077036",0
CD1001A,CD,6,6,FL,11,A,02/02/2019,02/13/2019,09/06/2018,09/10/2018,1,4,03/15/2018,East Coast,93,87,January,K,High,K->High,C,"0,106440231859882",1
CD1011A,CD,10,14,MN,15,A,03/14/2019,03/29/2019,04/28/2018,09/02/2018,2,1,04/27/2018,East Coast,9,10,January,K,High,K->High,C,"0,01894018504241",0
CD1013A,CD,6,11,TX,13,A,05/30/2019,06/12/2019,03/02/2018,08/06/2018,2,1,03/10/2018,East Coast,14,13,January,PK,High,PK->High,C,"0,056163768794558",1
CD1047A,CD,10,11,AZ,18,A,02/20/2019,03/10/2019,02/25/2018,08/26/2018,2,1,03/08/2018,East Coast,10,8,January,PK,High,PK->High,C,"0,005875451801169",1
CD1051A,CD,9,10,WA,19,A,03/13/2019,04/01/2019,05/19/2018,08/24/2018,2,3,04/30/2018,East Coast,17,23,January,K,High,K->High,C,"0,052064523525906",0
CD1052A,CD,9,9,CA,24,A,04/22/2019,05/16/2019,09/01/2018,08/27/2018,2,1,05/08/2018,East Coast,30,28,January,K,Middle,K->Middle,C,"0,090261209591247",1
CD1116T,CD,9,9,NC,14,T,04/15/2019,04/29/2019,04/10/2018,08/07/2018,1,2,04/04/2018,East Coast,29,31,January,K,Middle,K->Middle,C,"0,123743966014991",1
CD1157A,CD,10,10,TX,14,A,03/15/2019,03/29/2019,02/22/2018,02/12/2018,4,2,02/09/2018,East Coast,22,23,January,PK,Middle,PK->Middle,C,"0,106496764874924",0
CD1169A,CD,7,8,IL,7,A,05/15/2019,05/22/2019,05/16/2018,09/02/2018,1,2,05/08/2018,East Coast,32,36,January,K,Middle,K->Middle,C,"0,097774204068616",1
CD117T,CD,7,7,MI,16,T,05/03/2019,05/19/2019,04/20/2018,11/23/2018,0,3,04/11/2018,East Coast,40,49,January,PK,Middle,PK->Middle,C,"0,121819094989503",1
CD1181A,CD,10,10,CA,12,A,05/19/2019,05/31/2019,01/24/2018,09/12/2018,17,5,02/01/2018,East Coast,55,64,January,PK,High,PK->High,C,"0,074872098084982",1
CD1212A,CD,5,6,TN,12,A,03/07/2019,03/19/2019,05/13/2018,07/22/2018,3,4,04/03/2018,East Coast,55,57,January,PK,Middle,PK->Middle,C,"0,152416494510597",0
CD1224A,CD,8,8,CA,20,A,04/02/2019,04/22/2019,01/16/2018,09/29/2018,11,6,01/16/2018,East Coast,55,61,January,K,High,K->High,C,"0,061668768551528",1
CD1266A,CD,7,7,TN,6,A,05/16/2019,05/22/2019,04/17/2018,04/26/2018,1,1,04/25/2018,East Coast,23,26,January,PK,Middle,PK->Middle,C,"0,113425953096265",1
CD1326A,CD,6,6,CA,18,A,04/12/2019,04/30/2019,04/07/2018,06/10/2018,6,3,04/13/2018,East Coast,31,33,January,K,Middle,K->Middle,C,"0,208222029115819",1
CD1339A,CD,,,OR,21,A,03/16/2019,04/06/2019,05/08/2018,09/23/2018,1,1,05/06/2018,East Coast,14,14,January,PK,High,PK->High,C,"0,06064714013192",0
CD1381A,CD,8,8,NM,17,A,03/16/2019,04/02/2019,02/07/2018,07/31/2018,7,2,02/02/2018,East Coast,29,33,January,PK,High,PK->High,C,"0,019186832335652",1
CD1397A,CD,7,7,CA,25,A,05/12/2019,06/06/2019,02/24/2018,05/26/2018,6,5,02/28/2018,East Coast,75,77,January,K,Middle,K->Middle,C,"0,129658419247483",1
CD1439A,CD,6,6,CA,13,A,05/04/2019,05/17/2019,01/29/2018,09/01/2018,5,2,03/01/2018,East Coast,17,16,January,PK,Middle,PK->Middle,C,"0,065853057947126",1
CD1449A,CD,9,9,KY,7,A,05/12/2019,05/19/2019,04/29/2018,09/10/2018,1,1,03/27/2018,East Coast,22,25,January,PK,Middle,PK->Middle,C,"0,123844539982619",0
CD1469A,CD,8,9,CA,13,A,04/08/2019,04/21/2019,03/07/2018,08/25/2018,5,3,02/04/2018,East Coast,28,33,January,PK,High,PK->High,C,"0,111557503099507",0
CD1475A,CD,10,10,WA,22,A,04/07/2019,04/29/2019,03/20/2018,09/11/2018,1,1,03/24/2018,East Coast,14,16,January,PK,High,PK->High,C,"0,038033494183841",1
CD1494A,CD,9,9,FL,9,A,04/10/2019,04/19/2019,,10/16/2018,9,1,09/21/2018,East Coast,8,8,January,PK,High,PK->High,C,"0,023804244078688",0
CD1595A,CD,6,7,OR,16,A,03/16/2019,04/01/2019,03/24/2018,08/07/2018,1,2,04/08/2018,East Coast,14,17,January,PK,High,PK->High,C,"0,056104652218143",0
CD1599A,CD,,,TX,17,A,04/28/2019,05/15/2019,,12/01/2018,1,0,11/21/2018,East Coast,15,14,January,PK,High,PK->High,C,"0,021574456413883",1
CD1638A,CD,6,6,OR,32,A,03/12/2019,04/13/2019,03/12/2018,08/01/2018,1,1,03/08/2018,East Coast,15,16,January,PK,Middle,PK->Middle,C,"0,103941002217173",1
CD163A,CD,,,NV,18,A,05/10/2019,05/28/2019,,10/12/2018,2,2,10/01/2018,East Coast,9,11,January,PK,High,PK->High,C,"0,017410253119518",0
CD1645A,CD,6,6,KY,13,A,05/04/2019,05/17/2019,04/27/2018,08/24/2018,1,1,04/13/2018,East Coast,28,26,January,PK,Middle,PK->Middle,C,"0,123677652281725",0
CD1719A,CD,5,6,CA,14,A,04/07/2019,04/21/2019,02/10/2018,08/09/2018,5,3,02/15/2018,East Coast,23,29,January,PK,High,PK->High,C,"0,074114281828148",1
CD1728A,CD,7,7,OR,22,A,04/25/2019,05/17/2019,,10/12/2018,2,2,10/03/2018,East Coast,18,23,January,PK,High,PK->High,C,"0,027269925056153",1
CD1736T,CD,6,6,MA,16,T,03/22/2019,04/07/2019,05/05/2018,05/27/2018,1,8,04/20/2018,East Coast,31,38,January,Middle,High,Middle->High,C,"0,081761292546268",1
CD1754A,CD,8,13,AR,14,A,06/08/2019,06/22/2019,04/27/2018,07/30/2018,5,1,04/27/2018,East Coast,10,12,January,Undefined,Undefined,Undefined->Undefined,C,,0
CD1792A,CD,10,10,TN,17,A,04/26/2019,05/13/2019,02/10/2018,07/11/2018,12,5,01/29/2018,East Coast,95,114,January,PK,Middle,PK->Middle,C,,1
CD1815A,CD,5,6,CA,29,A,04/11/2019,05/10/2019,08/11/2018,09/13/2018,3,2,08/14/2017,East Coast,25,34,January,PK,Middle,PK->Middle,C,"0,147141003540717",0
CD1821A,CD,7,7,TX,8,A,03/15/2019,03/23/2019,01/28/2018,09/02/2018,5,3,02/20/2018,East Coast,46,61,January,PK,High,PK->High,C,"0,076245508199988",1
CD1824A,CD,10,10,CA,20,A,04/25/2019,05/15/2019,04/29/2018,08/31/2018,8,9,03/12/2018,East Coast,72,70,January,K,High,K->High,C,"0,073466797520979",1
CD1832T,CD,8,8,MI,22,T,05/05/2019,05/27/2019,04/15/2018,11/22/2018,0,3,04/10/2018,East Coast,44,51,January,PK,Middle,PK->Middle,C,"0,131910161136668",1
CD1862A,CD,9,13,MN,13,A,03/09/2019,03/22/2019,04/02/2018,08/20/2018,2,1,04/20/2018,East Coast,9,11,January,K,High,K->High,C,"0,020242583324767",0
CD1909A,CD,7,7,CA,20,A,04/28/2019,05/18/2019,02/06/2018,08/18/2018,0,3,01/27/2018,East Coast,16,19,January,K,Middle,K->Middle,C,"0,065636842067557",1
CD1919A,CD,7,7,CA,18,A,04/19/2019,05/07/2019,08/23/2018,08/20/2018,2,1,04/30/2018,East Coast,21,26,January,K,Middle,K->Middle,C,"0,089668843525465",1
CD1929A,CD,8,8,AR,13,A,04/24/2019,05/07/2019,02/07/2018,07/30/2018,1,2,02/02/2018,East Coast,24,21,January,PK,Middle,PK->Middle,C,"0,067455360502156",1
CD1943A,CD,11,12,WA,19,A,05/30/2019,06/18/2019,03/27/2018,09/02/2018,2,1,04/13/2018,East Coast,23,23,January,PK,High,PK->High,C,"0,0974014252278",0
CD1946A,CD,10,10,CA,25,A,04/29/2019,05/24/2019,01/23/2018,08/15/2018,6,2,02/25/2018,East Coast,13,18,January,PK,Middle,PK->Middle,C,"0,066694421955214",1
CD1947A,CD,5,7,NE,19,A,05/28/2019,06/16/2019,03/07/2018,08/04/2018,0,1,03/07/2018,East Coast,12,14,January,PK,Middle,PK->Middle,C,"0,045975056618679",0
CD1965A,CD,8,8,TX,21,A,03/18/2019,04/08/2019,03/07/2018,07/24/2018,2,1,02/15/2018,East Coast,8,11,January,PK,Middle,PK->Middle,C,"0,042544817651445",0
CD1978A,CD,9,9,AZ,16,A,04/29/2019,05/15/2019,03/13/2018,08/21/2018,1,1,03/20/2018,East Coast,16,21,January,K,Middle,K->Middle,C,"0,395011355652727",1
CD1984A,CD,8,8,TX,8,A,03/10/2019,03/18/2019,03/21/2018,03/08/2018,6,2,03/08/2018,East Coast,24,26,January,PK,Middle,PK->Middle,C,"0,106774307985597",0
CD1994A,CD,10,10,CA,18,A,04/08/2019,04/26/2019,02/11/2018,09/23/2018,13,8,02/13/2018,East Coast,55,57,January,K,High,K->High,C,"0,060764230073016",1
CD2010A,CD,9,10,TX,17,A,06/04/2019,06/21/2019,02/20/2018,07/13/2018,6,1,02/22/2018,East Coast,30,26,January,PK,Middle,PK->Middle,C,"0,0676170517263",1
CD2035A,CD,9,10,CA,19,A,05/01/2019,05/20/2019,02/26/2018,08/16/2018,5,2,02/14/2018,East Coast,38,40,January,PK,Middle,PK->Middle,C,"0,227172672954556",0
CD2039A,CD,9,9,AR,11,A,04/20/2019,05/01/2019,01/23/2018,08/20/2018,1,2,01/26/2018,East Coast,22,22,January,PK,Middle,PK->Middle,C,"0,071146576630312",1
CD2119A,CD,10,10,TX,14,A,05/11/2019,05/25/2019,01/29/2018,01/28/2018,3,7,01/07/2018,East Coast,77,105,January,PK,Middle,PK->Middle,C,"0,135981014961001",1
CD2127A,CD,8,9,MO,12,A,03/31/2019,04/12/2019,02/04/2018,09/01/2018,2,1,01/20/2018,East Coast,19,21,January,PK,Middle,PK->Middle,C,"0,148544258846812",0
CD2139A,CD,9,9,AZ,22,A,05/17/2019,06/08/2019,03/06/2018,08/14/2018,0,1,03/05/2018,East Coast,16,19,January,Undefined,Undefined,Undefined->Undefined,C,,1
CD2147A,CD,9,9,CA,27,A,04/28/2019,05/25/2019,02/03/2018,08/11/2018,0,1,02/03/2018,East Coast,3,4,January,PK,Middle,PK->Middle,C,"0,015418541060543",1
CD2170A,CD,7,7,AZ,23,A,04/23/2019,05/16/2019,01/21/2018,09/20/2018,1,4,02/14/2018,East Coast,53,53,January,K,Middle,K->Middle,C,"0,098349727498222",1
CD2227A,CD,6,7,CA,15,A,03/30/2019,04/14/2019,02/06/2018,02/08/2018,5,3,01/16/2018,East Coast,58,58,January,PK,High,PK->High,C,"0,115123370419441",0
CD2231A,CD,7,7,MO,8,A,04/14/2019,04/22/2019,05/05/2018,09/25/2018,1,2,04/17/2018,East Coast,23,23,January,PK,Middle,PK->Middle,C,"0,124164264960401",1
CD2269A,CD,10,10,WA,15,A,04/24/2019,05/09/2019,03/11/2018,09/02/2018,7,3,02/16/2018,East Coast,27,32,January,PK,High,PK->High,C,"0,023898847218519",1
CD2293A,CD,6,7,CA,26,A,04/11/2019,05/07/2019,03/01/2018,07/29/2018,5,3,02/14/2018,East Coast,24,30,January,PK,High,PK->High,C,"0,073934179655843",1
CD2295T,CD,5,6,OH,21,T,03/06/2019,03/27/2019,02/16/2018,02/14/2018,6,3,01/24/2018,East Coast,49,52,January,K,Middle,K->Middle,C,"0,150154647974838",1
CD231A,CD,10,10,CA,28,A,05/19/2019,06/16/2019,02/27/2018,05/26/2018,5,6,02/20/2018,East Coast,86,72,January,K,Middle,K->Middle,C,"0,12846662025613",1
CD2333A,CD,8,8,WA,28,A,04/22/2019,05/20/2019,03/08/2018,09/04/2018,7,7,01/28/2018,East Coast,83,83,January,PK,High,PK->High,C,"0,076124978392533",1
CD2376A,CD,10,10,IA,16,A,06/12/2019,06/28/2019,03/15/2018,08/25/2018,3,2,02/17/2018,East Coast,18,16,January,K,Middle,K->Middle,C,"0,022601330757944",1
CD2420A,CD,9,9,MN,10,A,06/03/2019,06/13/2019,02/27/2018,09/03/2018,1,3,02/23/2018,East Coast,42,47,January,PK,High,PK->High,C,"0,051628493148521",1
CD2424A,CD,9,9,TX,11,A,04/07/2019,04/18/2019,03/16/2018,07/29/2018,8,4,01/26/2018,East Coast,24,35,January,PK,High,PK->High,C,"0,079661643781084",1
CD2437A,CD,10,10,TX,8,A,05/07/2019,05/15/2019,03/11/2018,09/11/2018,4,1,02/24/2018,East Coast,23,22,January,PK,Middle,PK->Middle,C,"0,104229408365506",1
CD24A,CD,9,9,FL,9,A,05/05/2019,05/14/2019,04/20/2018,08/08/2018,0,1,03/19/2018,East Coast,8,7,January,PK,High,PK->High,C,"0,019658089087468",1
CD2501A,CD,8,8,AZ,18,A,04/30/2019,05/18/2019,04/18/2018,08/26/2018,3,2,04/01/2018,East Coast,22,23,January,PK,Middle,PK->Middle,C,"0,082520073887856",1
CD2512A,CD,4,6,FL,7,A,05/29/2019,06/05/2019,,08/10/2018,0,1,09/03/2018,East Coast,6,6,January,PK,High,PK->High,C,"0,015001609414196",0
CD2517T,CD,10,10,WI,21,T,06/01/2019,06/22/2019,03/11/2018,09/21/2018,2,4,03/17/2018,East Coast,43,51,January,PK,Middle,PK->Middle,C,"0,219528555233341",1
CD2524A,CD,7,7,CA,15,A,04/23/2019,05/08/2019,01/27/2018,09/02/2018,4,3,02/12/2018,East Coast,30,35,January,Middle,High,Middle->High,C,"0,042705449085316",1
CD252A,CD,6,6,AZ,20,A,03/23/2019,04/12/2019,01/19/2018,08/17/2018,9,8,01/25/2018,East Coast,39,55,January,K,Middle,K->Middle,C,"0,081593869612913",1
CD2557A,CD,8,13,TX,15,A,05/27/2019,06/11/2019,03/16/2018,08/15/2018,2,1,02/15/2018,East Coast,14,14,January,PK,High,PK->High,C,"0,056142471665711",1
CD2593A,CD,6,6,CO,20,A,05/04/2019,05/24/2019,,09/05/2018,6,3,04/03/2018,East Coast,66,75,January,K,Elementary,K->Elementary,C,,1
CD2618T,CD,6,6,OH,13,T,05/11/2019,05/24/2019,03/03/2018,08/14/2018,5,4,02/22/2018,East Coast,40,41,January,PK,High,PK->High,C,"0,036012026065223",0
CD2636A,CD,9,9,CA,23,A,04/29/2019,05/22/2019,01/13/2018,08/13/2018,0,1,01/26/2018,East Coast,4,4,January,PK,Middle,PK->Middle,C,"0,01434802452554",1
CD2708A,CD,6,6,CA,25,A,05/19/2019,06/13/2019,02/10/2018,09/27/2018,20,5,01/17/2018,East Coast,73,72,January,PK,High,PK->High,C,"0,079344446858533",1
CD2728A,CD,4,6,CA,14,A,04/23/2019,05/07/2019,03/02/2018,09/04/2018,1,1,03/22/2018,East Coast,8,10,January,PK,Middle,PK->Middle,C,"0,048542179712243",0
CD272A,CD,9,9,TX,14,A,03/16/2019,03/30/2019,02/04/2018,09/07/2018,2,1,02/09/2018,East Coast,21,20,January,K,High,K->High,C,"0,04357878000634",1
CD2753A,CD,9,10,CA,16,A,04/20/2019,05/06/2019,03/09/2018,08/12/2018,8,2,03/15/2018,East Coast,33,38,January,PK,Middle,PK->Middle,C,"0,226323805200617",0
CD2762A,CD,6,6,OR,20,A,04/25/2019,05/15/2019,,10/02/2018,2,2,09/20/2018,East Coast,23,23,January,PK,High,PK->High,C,"0,028278869617866",1
CD2764A,CD,7,8,WA,13,A,04/04/2019,04/17/2019,03/05/2018,08/24/2018,2,1,04/09/2018,East Coast,19,19,January,Undefined,Undefined,Undefined->Undefined,C,,0
CD2776A,CD,9,9,ID,19,A,02/21/2019,03/12/2019,03/05/2018,09/14/2018,2,1,04/04/2018,East Coast,20,22,January,PK,Middle,PK->Middle,C,"0,047099525876207",1
CD2790A,CD,8,8,LA,11,A,03/28/2019,04/08/2019,02/15/2018,09/10/2018,6,4,01/23/2018,East Coast,79,77,January,PK,High,PK->High,C,,1
CD2799A,CD,9,9,CA,17,A,04/17/2019,05/04/2019,03/21/2018,08/30/2018,4,1,02/26/2018,East Coast,24,28,January,K,Middle,K->Middle,C,"0,13796925455235",1
CD2882A,CD,8,8,IA,16,A,06/13/2019,06/29/2019,03/01/2018,09/04/2018,3,2,02/17/2018,East Coast,16,17,January,K,Middle,K->Middle,C,"0,022663036688502",1
CD2895A,CD,6,6,MN,11,A,06/09/2019,06/20/2019,02/22/2018,08/13/2018,1,3,03/21/2018,East Coast,53,54,January,PK,High,PK->High,C,"0,054744210558046",1
CD2904A,CD,13,13,TX,22,A,04/06/2019,04/28/2019,03/16/2018,07/19/2018,8,4,02/20/2018,East Coast,25,31,January,PK,High,PK->High,C,"0,082548670300861",1
CD2906T,CD,5,7,MA,20,T,04/08/2019,04/28/2019,02/25/2018,09/29/2018,2,5,02/10/2018,East Coast,42,58,January,PK,Middle,PK->Middle,C,"0,494574107726948",0
CD292A,CD,7,8,CA,16,A,04/29/2019,05/15/2019,04/30/2018,10/02/2018,5,2,03/03/2018,East Coast,36,37,January,K,Middle,K->Middle,C,"0,07933767670068",0
CD2957A,CD,8,9,CA,22,A,04/03/2019,04/25/2019,03/08/2018,09/04/2018,5,3,01/29/2018,East Coast,24,32,January,PK,High,PK->High,C,"0,101875588694462",0
CD2969A,CD,4,4,FL,26,A,03/08/2019,04/03/2019,05/20/2018,08/14/2018,4,2,04/27/2018,East Coast,17,21,January,PK,High,PK->High,C,"0,031468849337324",1
CD2972A,CD,9,9,CA,16,A,04/09/2019,04/25/2019,05/03/2018,08/21/2018,1,1,03/27/2018,East Coast,9,8,January,K,Middle,K->Middle,C,"0,048653228427213",0
CD298A,CD,6,7,TX,15,A,05/09/2019,05/24/2019,07/02/2018,08/26/2018,0,1,06/27/2018,East Coast,14,13,January,K,Middle,K->Middle,C,"0,193292531938002",0
CD2990A,CD,9,9,FL,18,A,05/01/2019,05/19/2019,04/23/2018,07/22/2018,7,3,04/12/2018,East Coast,33,38,January,PK,High,PK->High,C,"0,033674928779644",1
CD3081A,CD,9,9,WA,15,A,04/19/2019,05/04/2019,03/07/2018,09/06/2018,9,8,02/24/2018,East Coast,71,94,January,PK,High,PK->High,C,"0,072206013538307",1
CD3098A,CD,6,8,CA,20,A,04/25/2019,05/15/2019,03/28/2018,08/10/2018,4,2,04/06/2018,East Coast,21,20,January,PK,Middle,PK->Middle,C,"0,181009169301132",0
CD312A,CD,6,6,FL,14,A,03/19/2019,04/02/2019,03/25/2018,03/25/2018,3,5,04/11/2018,East Coast,37,47,January,PK,Middle,PK->Middle,C,"0,102420522361606",1
CD3134A,CD,6,6,CA,16,A,03/27/2019,04/12/2019,03/04/2018,07/27/2018,3,3,02/19/2018,East Coast,52,52,January,PK,High,PK->High,C,"0,043161598031571",1
CD3166A,CD,10,10,NE,19,A,06/03/2019,06/22/2019,01/26/2018,08/11/2018,1,3,01/31/2018,East Coast,40,42,January,Middle,High,Middle->High,C,"0,324979389482594",1
CD317T,CD,10,10,MI,23,T,04/25/2019,05/18/2019,02/12/2018,08/05/2018,2,8,03/04/2018,East Coast,50,55,January,Middle,Middle,Middle->Middle,C,"0,199911924326283",1
CD3227A,CD,10,11,OR,24,A,03/24/2019,04/17/2019,03/24/2018,07/31/2018,1,2,04/16/2018,East Coast,12,17,January,PK,High,PK->High,C,"0,055238310225733",0
CD3272A,CD,11,12,AZ,19,A,02/23/2019,03/14/2019,03/01/2018,09/13/2018,2,1,02/11/2018,East Coast,8,9,January,PK,High,PK->High,C,"0,005825252577918",1
CD3303A,CD,7,7,TX,18,A,04/12/2019,04/30/2019,02/24/2018,08/21/2018,1,1,01/26/2018,East Coast,3,4,January,PK,Middle,PK->Middle,C,"0,019899216670158",1
CD3312T,CD,9,9,OH,12,T,04/09/2019,04/21/2019,01/17/2018,07/24/2018,2,3,01/26/2018,East Coast,64,62,January,Middle,High,Middle->High,C,"0,095687277470429",1
CD3335A,CD,9,10,CA,11,A,04/25/2019,05/06/2019,04/23/2018,08/13/2018,7,4,03/16/2018,East Coast,28,32,January,PK,Middle,PK->Middle,C,"0,057290534250779",1
CD3358A,CD,8,8,CA,27,A,05/08/2019,06/04/2019,04/19/2018,08/17/2018,1,2,03/23/2018,East Coast,35,37,January,K,Middle,K->Middle,C,"0,116620774162364",1
CD3367A,CD,6,6,GA,10,A,03/24/2019,04/03/2019,02/05/2018,08/15/2018,2,4,02/07/2018,East Coast,26,33,January,K,Middle,K->Middle,C,"0,0906080555069",1
CD3394A,CD,,,NV,17,A,05/13/2019,05/30/2019,,10/27/2018,2,2,09/29/2018,East Coast,9,10,January,PK,High,PK->High,C,"0,017174138552756",0
CD3455A,CD,6,6,CA,26,A,04/04/2019,04/30/2019,02/20/2018,08/25/2018,2,1,02/14/2018,East Coast,9,11,January,K,High,K->High,C,"0,015231693266042",0
CD3462A,CD,6,6,WA,38,A,04/03/2019,05/11/2019,05/08/2018,08/09/2018,7,2,04/08/2018,East Coast,32,32,January,K,High,K->High,C,"0,048580605704439",1
CD3490T,CD,,,WI,26,T,04/27/2019,05/23/2019,,09/18/2018,0,4,09/06/2018,East Coast,58,61,January,PK,Middle,PK->Middle,C,"0,134044471307029",1
CD3536A,CD,7,7,AZ,19,A,05/01/2019,05/20/2019,01/27/2018,09/25/2018,1,4,01/08/2018,East Coast,43,50,January,K,Middle,K->Middle,C,"0,106749193623397",1
CD3625A,CD,,,OR,14,A,03/13/2019,03/27/2019,05/30/2018,09/30/2018,1,1,05/13/2018,East Coast,11,14,January,PK,High,PK->High,C,"0,060409937847183",0
CD3673A,CD,6,8,FL,13,A,06/02/2019,06/15/2019,,08/19/2018,0,1,08/26/2018,East Coast,5,6,January,PK,High,PK->High,C,"0,015194327660295",0
CD3687A,CD,5,7,CA,24,A,04/26/2019,05/20/2019,04/03/2018,08/04/2018,4,2,03/13/2018,East Coast,17,19,January,PK,Middle,PK->Middle,C,"0,188294680882439",0
CD3699A,CD,6,6,TX,19,A,02/14/2019,03/05/2019,04/03/2018,08/14/2018,0,2,03/10/2018,East Coast,35,34,January,PK,High,PK->High,C,"0,064417469748668",1
CD3717T,CD,9,9,MI,24,T,05/03/2019,05/27/2019,02/24/2018,08/04/2018,2,7,01/28/2018,East Coast,54,65,January,Middle,Middle,Middle->Middle,C,"0,189753095321444",1
