ID_CRM,Poverty_Code,Region,CRM_Segment,School_Type,Parent_Meeting_Flag,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,SPR_New_Existing,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,SchoolSizeIndicator
01483O,0,Southern California,5,Catholic,1,K,8,304,O,0,2,05/24/2018,09/21/2018,380,260,Middle,Middle,Middle->Middle,S
01491N,0,Other,4,CHD,1,K,8,488,N,0,1,09/20/2018,09/21/2018,270,269,Middle,Middle,Middle->Middle,S-M
01494H,0,Other,1,CHD,1,PK,12,279,H,0,1,10/27/2018,10/25/2018,165,167,Middle,Middle,Middle->Middle,S
01497I,0,Northern California,5,Catholic,1,K,8,568,I,0,2,04/23/2018,08/21/2018,363,243,Middle,Middle,Middle->Middle,S-M
015080,0,Southern California,3,PUBLIC,0,0,NA,0,0,1,0,,,,,Elementary,Middle,Elementary->Middle,
01511N,0,Northern California,5,Catholic,1,K,8,344,N,1,1,03/31/2018,04/18/2018,383,365,Middle,Middle,Middle->Middle,S
01512Q,0,Southern California,4,CHD,1,PK,4,599,Q,0,1,09/12/2018,09/15/2018,185,182,Elementary,Elementary,Elementary->Elementary,M-L
01518Q,0,Houston,5,Catholic,1,PK,12,585,Q,0,1,08/15/2018,08/28/2018,237,224,Middle,Middle,Middle->Middle,M-L
01521H,0,Northern California,5,Catholic,1,K,8,263,H,0,1,11/25/2018,11/30/2018,187,182,Middle,Middle,Middle->Middle,S
01522Q,0,Northern California,5,Private non-Christian,0,6,12,479,Q,1,0,,,,,Middle,Middle,Middle->Middle,S-M
01530M,0,Southern California,1,CHD,1,K,8,93,M,1,1,06/08/2018,06/05/2018,334,337,Elementary,Middle,Elementary->Middle,S
01531C,0,Other,5,Catholic,1,PK,8,681,C,1,1,09/16/2018,09/08/2018,238,246,Middle,Undefined,Middle->Undefined,M-L
01533P,0,Other,5,Private non-Christian,1,PK,12,1068,P,1,1,09/05/2018,09/04/2018,246,247,Middle,Middle,Middle->Middle,L
01535L,0,Southern California,9,Catholic,1,K,8,184,L,0,1,08/04/2018,08/04/2018,267,267,Middle,Middle,Middle->Middle,S
015400,0,Other,7,CHD,0,0,NA,0,0,1,0,,,,,Middle,Middle,Middle->Middle,
01543G,0,Southern California,5,Catholic,1,1,8,287,G,1,1,09/07/2018,09/14/2018,211,204,Middle,Middle,Middle->Middle,S
01545N,0,Southern California,3,Private non-Christian,1,K,12,168,N,1,2,05/03/2018,09/27/2018,353,206,High,High,High->High,S
01546L,0,Pacific Northwest,5,Catholic,0,PK,8,353,L,0,0,,,,,Middle,Middle,Middle->Middle,S-M
01547Z,0,Houston,5,Private non-Christian,1,PK,12,1032,Z,1,1,10/12/2018,10/15/2018,150,147,Undefined,Undefined,Undefined->Undefined,L
01548J,0,Other,5,Private non-Christian,1,6,8,329,J,0,1,10/03/2018,09/30/2018,171,174,Middle,Middle,Middle->Middle,S
01555Q,0,Southern California,5,CHD,0,K,8,287,Q,1,0,,,,,Elementary,Elementary,Elementary->Elementary,S
01565O,0,Southern California,5,Catholic,1,K,8,548,O,1,1,09/28/2018,09/27/2018,200,201,Middle,Middle,Middle->Middle,S-M
0156N,0,Other,10,Catholic,1,K,8,382,N,0,1,11/21/2018,12/09/2018,137,119,Middle,Middle,Middle->Middle,S-M
01571G,0,Northern California,9,Private non-Christian,1,PK,8,148,G,1,2,03/16/2018,09/24/2018,374,182,Middle,Middle,Middle->Middle,S
015740,0,Other,7,CHD,0,0,NA,0,0,1,0,,,,,High,High,High->High,
015810,0,Other,7,CHD,1,0,NA,0,0,0,1,09/15/2018,09/10/2018,134,139,High,High,High->High,
01593L,0,Other,7,CHD,0,PK,12,271,L,0,0,,,,,High,High,High->High,S
01595K,0,Pacific Northwest,10,CHD,1,PK,12,255,K,1,2,05/08/2018,09/27/2018,312,170,Middle,High,Middle->High,S
01596K,0,Southern California,12,CHD,1,PK,8,100,K,0,2,05/13/2018,09/01/2018,339,228,Elementary,Elementary,Elementary->Elementary,S
01599L,0,Houston,9,CHD,0,PK,12,710,L,1,0,,,,,Undefined,Undefined,Undefined->Undefined,M-L
0159P,0,Southern California,5,Private non-Christian,0,PK,8,327,P,0,0,,,,,Elementary,Elementary,Elementary->Elementary,S-M
01609L,0,Other,5,Private non-Christian,0,PK,12,869,L,1,0,,,,,Middle,Middle,Middle->Middle,L
01610Q,0,Northern California,5,Catholic,1,K,8,262,Q,0,2,05/19/2018,08/22/2018,335,240,Middle,Middle,Middle->Middle,S
01615Q,0,Northern California,5,Catholic,1,K,8,229,Q,1,1,09/13/2018,09/14/2018,231,230,Middle,Middle,Middle->Middle,S
01638H,0,Pacific Northwest,9,CHD,1,PK,8,162,H,0,1,09/17/2018,09/27/2018,176,166,Middle,Middle,Middle->Middle,S
0163L,0,Other,5,CHD,1,PK,12,560,L,1,1,11/12/2018,11/11/2018,179,180,Undefined,Undefined,Undefined->Undefined,S-M
01645I,0,Other,2,CHD,1,PK,8,208,I,0,2,08/28/2018,08/18/2018,249,259,Middle,Middle,Middle->Middle,S
01649P,0,Southern California,5,CHD,1,K,8,298,P,1,1,10/23/2018,10/20/2018,174,177,Elementary,Elementary,Elementary->Elementary,S
01660I,0,Other,7,Private non-Christian,1,PK,12,893,I,1,1,09/02/2018,08/27/2018,273,279,Middle,Middle,Middle->Middle,L
01683P,0,Southern California,5,CHD,1,PK,8,357,P,0,1,09/04/2018,09/07/2018,229,226,Elementary,Elementary,Elementary->Elementary,S
01693G,0,Houston,1,Catholic,0,PK,8,120,G,0,0,,,,,Middle,Middle,Middle->Middle,S
01697A,0,Other,1,CHD,1,PK,12,152,A,0,1,09/04/2018,09/10/2018,285,279,Middle,High,Middle->High,S
01699Q,0,Southern California,5,Private non-Christian,1,PK,8,618,Q,0,1,09/29/2018,09/14/2018,218,233,Elementary,Elementary,Elementary->Elementary,M-L
016Q,0,Southern California,4,CHD,1,PK,4,636,Q,0,1,09/14/2018,09/07/2018,189,196,Elementary,Elementary,Elementary->Elementary,M-L
01701Z,0,Southern California,11,Private non-Christian,1,PK,8,158,Z,0,1,08/16/2018,08/27/2018,265,254,Middle,Middle,Middle->Middle,S
01702O,0,Southern California,4,Private non-Christian,0,PK,6,238,O,0,0,,,,,Elementary,Elementary,Elementary->Elementary,S
01703Q,0,Northern California,5,Catholic,1,PK,8,587,Q,1,2,04/26/2018,08/28/2018,350,226,Middle,Middle,Middle->Middle,S-M
0170Q,0,Houston,5,CHD,1,PK,8,404,Q,1,2,01/26/2018,08/23/2018,436,227,Middle,Middle,Middle->Middle,S-M
01711B,0,Other,11,CHD,1,PK,12,285,B,1,1,10/04/2018,10/08/2018,152,148,Middle,Middle,Middle->Middle,S
01714P,0,Other,2,Catholic,1,PK,8,961,P,0,1,08/14/2018,08/25/2018,271,260,Middle,Middle,Middle->Middle,L
01717Q,0,Southern California,4,Private non-Christian,1,PK,6,81,Q,0,1,10/19/2018,10/07/2018,199,211,Elementary,Elementary,Elementary->Elementary,S
01719K,0,Northern California,11,CHD,1,PK,12,345,K,1,1,09/02/2018,08/16/2018,217,234,Middle,Middle,Middle->Middle,S-M
01721F,0,Southern California,5,Catholic,1,K,8,364,F,0,2,04/20/2018,09/15/2018,373,225,Middle,Middle,Middle->Middle,S-M
01728I,0,Pacific Northwest,5,CHD,1,PK,12,709,I,1,1,11/15/2018,11/17/2018,161,159,Middle,Middle,Middle->Middle,M-L
0172J,0,Southern California,5,CHD,1,PK,8,304,J,0,1,09/21/2018,09/14/2018,233,240,Elementary,Elementary,Elementary->Elementary,S
01730Q,0,Southern California,4,CHD,1,PK,4,636,Q,1,1,09/06/2018,09/05/2018,193,194,Elementary,Elementary,Elementary->Elementary,M-L
01732P,0,Southern California,5,Catholic,1,PK,8,336,P,0,1,10/07/2018,09/30/2018,218,225,Elementary,Elementary,Elementary->Elementary,S-M
01736Q,0,Other,9,CHD,0,6,12,378,Q,1,0,,,,,Middle,Middle,Middle->Middle,S-M
01744Q,0,Southern California,5,Catholic,1,1,8,271,Q,0,1,09/05/2018,09/11/2018,253,247,Middle,Middle,Middle->Middle,S
01745Q,0,Southern California,5,Private non-Christian,1,4,12,372,Q,0,1,09/24/2018,10/03/2018,183,174,Elementary,Elementary,Elementary->Elementary,S-M
017540,0,Other,7,PUBLIC,1,0,NA,0,0,1,1,09/13/2018,09/11/2018,268,270,Middle,High,Middle->High,
01756P,0,Southern California,4,CHD,0,PK,6,301,P,0,0,,,,,Elementary,Elementary,Elementary->Elementary,S
01758G,0,Other,5,Catholic,0,PK,8,430,G,0,0,,,,,Middle,Middle,Middle->Middle,S-M
01766O,0,Southern California,5,CHD,1,PK,8,706,O,1,1,09/27/2018,09/25/2018,252,254,Elementary,Elementary,Elementary->Elementary,M-L
01767Q,0,Other,10,Private non-Christian,1,PK,9,401,Q,0,1,10/24/2018,10/24/2018,177,177,High,High,High->High,S-M
01773K,0,Pacific Northwest,1,CHD,1,K,8,55,K,1,1,09/18/2018,09/09/2018,180,189,Middle,Middle,Middle->Middle,S
01789O,0,Southern California,5,CHD,1,PK,8,371,O,1,2,04/28/2018,09/18/2018,391,248,Middle,Middle,Middle->Middle,S-M
01792P,0,Other,10,CHD,1,PK,8,0,P,0,1,09/21/2018,10/05/2018,217,203,Middle,Middle,Middle->Middle,
01793Q,0,Northern California,5,Catholic,1,K,8,331,Q,1,1,09/04/2018,08/31/2018,274,278,Middle,Middle,Middle->Middle,S
01800P,0,Southern California,5,CHD,1,K,8,565,P,1,1,09/23/2018,09/16/2018,217,224,Middle,Middle,Middle->Middle,S-M
01802O,0,Southern California,5,CHD,1,PK,8,461,O,0,1,09/18/2018,09/22/2018,206,202,Elementary,Elementary,Elementary->Elementary,S-M
01809P,0,Northern California,5,Catholic,1,PK,8,360,P,1,1,08/29/2018,08/31/2018,236,234,Middle,Middle,Middle->Middle,S-M
018100,0,Southern California,8,CHD,0,0,NA,0,0,0,0,,,,,Undefined,Undefined,Undefined->Undefined,
01813I,0,Houston,5,CHD,1,PK,12,730,I,0,2,04/20/2018,09/12/2018,327,182,Middle,Middle,Middle->Middle,M-L
01814O,0,Dallas,7,Private non-Christian,1,0,NA,217,O,0,1,09/22/2018,09/04/2018,180,198,Middle,Middle,Middle->Middle,S
01815G,0,Southern California,9,CHD,1,PK,8,236,G,1,1,09/08/2018,09/14/2018,215,209,Middle,Middle,Middle->Middle,S
01817O,0,Pacific Northwest,5,Catholic,1,K,8,214,O,0,1,09/23/2018,09/21/2018,270,272,Middle,Middle,Middle->Middle,S
01821N,0,Houston,5,CHD,0,PK,12,721,N,1,0,,,,,Middle,Middle,Middle->Middle,M-L
01824Q,0,Southern California,5,CHD,1,K,12,787,Q,0,1,09/15/2018,09/11/2018,222,226,Middle,Middle,Middle->Middle,L
01830Q,0,Southern California,5,CHD,1,7,8,214,Q,0,1,09/16/2018,09/15/2018,280,281,Middle,Middle,Middle->Middle,S
01832H,0,Other,2,CHD,0,PK,8,379,H,1,0,,,,,Middle,Middle,Middle->Middle,S-M
01835K,0,Other,5,CHD,1,PK,12,1163,K,1,1,10/14/2018,10/14/2018,149,149,Middle,Middle,Middle->Middle,L
01836Q,0,Northern California,5,CHD,1,PK,8,779,Q,1,1,09/09/2018,09/04/2018,179,184,Middle,Middle,Middle->Middle,L
01837O,0,Other,2,Catholic,0,PK,8,294,O,0,0,,,,,Middle,Middle,Middle->Middle,S
01850,0,Southern California,7,PUBLIC,0,0,NA,0,0,0,0,,,,,Elementary,Elementary,Elementary->Elementary,
01854J,0,Other,11,Private non-Christian,0,PK,8,296,J,0,0,,,,,Middle,Middle,Middle->Middle,S
01862Q,0,Other,11,CHD,1,K,12,486,Q,0,2,05/04/2018,09/19/2018,309,171,Middle,High,Middle->High,S-M
01865M,0,Other,8,Catholic,1,9,12,534,M,1,1,11/20/2018,11/12/2018,201,209,High,High,High->High,S-M
0186G,0,Other,7,Catholic,1,9,12,226,G,0,1,11/23/2018,11/11/2018,53,65,High,High,High->High,S
018710,0,Other,,CHD,1,0,NA,0,0,1,1,11/24/2018,11/28/2018,180,176,Undefined,Undefined,Undefined->Undefined,
01878P,0,Southern California,5,Private non-Christian,1,K,8,610,P,0,2,09/19/2018,01/16/2019,156,37,Middle,Middle,Middle->Middle,S-M
01879G,0,Southern California,4,CHD,1,PK,6,64,G,1,1,09/26/2018,10/01/2018,236,231,Elementary,Elementary,Elementary->Elementary,S
